"LISBURN WATERWORKS (OLD GAUGE)",,,,,,,,,,,,
Grid ref,IJ332566,Long,-5.947435,Lat,54.440593,,,,,,,
Station no,RR4186,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,3.43,1.43,2.80,3.75,3.85,4.03,3.23,2.07,3.85,,
February,2.90,0.95,1.33,3.49,2.79,1.44,2.35,5.05,1.20,2.42,,
March,2.82,1.18,0.41,3.24,1.37,1.68,3.03,1.84,2.57,2.00,,
April,1.47,1.94,1.73,0.56,2.38,1.81,1.61,1.37,2.77,2.77,,
May,2.32,1.35,1.72,4.04,3.04,0.97,1.96,2.48,1.06,1.83,,
June,2.07,2.74,1.58,2.40,4.36,2.82,1.23,6.18,2.09,2.48,,
July,4.18,2.09,5.71,4.38,1.67,2.97,4.23,4.27,4.19,6.57,,
August,3.69,5.67,3.23,2.90,1.19,7.03,4.37,4.27,0.82,5.44,,
September,2.13,1.67,2.33,4.51,3.91,2.85,5.06,5.35,1.59,2.86,,
October,0.70,3.53,1.66,5.43,2.71,2.89,3.55,2.64,3.77,5.28,,
November,6.34,2.60,3.94,5.44,2.21,1.47,1.88,1.91,3.33,3.63,,
December,4.00,3.94,3.10,4.38,4.62,4.62,4.76,4.89,4.79,2.25,,
Total,35.54,31.09,28.17,43.57,34.00,34.40,38.06,43.48,30.25,41.38,,
Calc annual,35.54,31.09,28.17,43.57,34.00,34.40,38.06,43.48,30.25,41.38,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
