ROSENEATH ACHNASHIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS250836,Long,-4.808815,Lat,56.013284,Elevation,25,ft,,,,,,,,,,,,
Station no,RR4432,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,5,8.05,5.7,8.6,8.5,7.2,5.1,5.1,5.3,6.45,5.15,10.55,3.65,7.8,
February,,,,,,4.25,4.8,5.2,4.75,3.5,7.9,9.85,5.25,5.25,7.2,9.1,8,1.35,8.95,
March,,,,,,6,5.55,6.8,6.2,2.3,3.5,2.45,6.95,7,6.6,4.2,1.9,3.4,2.75,
April,,,,,,3.75,2.05,3.05,1.85,4.3,5.7,4.4,3.35,4.35,3.7,4,4.8,2.25,0.9,
May,,,,,4.15,2.4,7,5,3.2,3.75,2.45,3.4,2.55,4.75,2.6,1.1,5.3,4.1,4,
June,,,,,3.7,1.15,1.8,5.25,3.35,3.4,2.55,3.8,5.55,4.55,0.95,2.3,2.2,3.45,2.15,
July,,,,,3.75,3.6,3.6,2.65,4.55,4.8,4.9,4.1,2.8,1.5,3.05,4.4,2.8,1.4,,
August,,,,,5.35,7,5.2,8.4,5.45,3.9,9.7,5.05,5.25,2.65,6.85,4.3,4.3,5.5,,
September,,,,,6.4,3.4,2.8,2.2,8.8,2.55,2.15,3,4.5,2.5,2.4,1.5,1.95,5.15,,
October,,,,,4.1,5.65,8.3,5.45,1.6,9.4,3.1,5,7.35,3.9,2.8,4,10.3,10.5,,
November,,,,,4.3,6.6,6.05,6,5.6,4.1,3.9,9.25,6.2,8.4,7.3,2.65,7.15,11.6,,
December,,,,,7.4,5.45,6.1,7.75,7.1,8.9,6.5,8.25,15.4,6.2,9.1,6.9,7.5,4.4,,
Total,,,,,,54.25,61.3,63.45,61.05,59.4,59.55,63.65,70.25,56.35,59,49.6,66.75,56.75,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4432,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
