"ROSENEATH ACHNASHIE",,,,,,,,,,,,
Grid ref,NS250836,Long,-4.808815,Lat,56.013284,,,,,,,
Station no,RR4432,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,5.00,8.05,5.70,8.60,8.50,,
February,,,,,,4.25,4.80,5.20,4.75,3.50,,
March,,,,,,6.00,5.55,6.80,6.20,2.30,,
April,,,,,,3.75,2.05,3.05,1.85,4.30,,
May,,,,,4.15,2.40,7.00,5.00,3.20,3.75,,
June,,,,,3.70,1.15,1.80,5.25,3.35,3.40,,
July,,,,,3.75,3.60,3.60,2.65,4.55,4.80,,
August,,,,,5.35,7.00,5.20,8.40,5.45,3.90,,
September,,,,,6.40,3.40,2.80,2.20,8.80,2.55,,
October,,,,,4.10,5.65,8.30,5.45,1.60,9.40,,
November,,,,,4.30,6.60,6.05,6.00,5.60,4.10,,
December,,,,,7.40,5.45,6.10,7.75,7.10,8.90,,
Total,,,,,,54.25,61.30,63.45,61.05,59.40,,
Calc annual,0.00,0.00,0.00,0.00,39.15,54.25,61.30,63.45,61.05,59.40,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,,
