FARINGDON-THE-NURSERIES,,,,,,,,,,,
Grid ref,SU294955,Long,-1.5763892,Lat,51.657522,Elevation,400,ft.,,,
Station no,RR6335,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.47,2.1,3.28,2.95,3.61,1.42,4.12
February,,,,,0.36,2.91,1.93,3.55,1.71,0.57,0.63
March,,,,,0.78,0.38,0.77,3.06,2.59,0.11,1.49
April,,,,,2.25,1.29,2.09,1.81,0.89,1.35,2.4
May,,,,,4.75,3.28,3.37,1.37,0.95,1.56,1.6
June,,,,,2.47,0.1,2.73,3.53,2.8,1.4,2.12
July,,,,,3.47,3.2,2.2,2.59,2.7,1.21,3.47
August,,,,,2.18,2.96,1.2,4.69,2.02,2.04,1.88
September,,,,,4.36,2.94,1.09,7.88,1.02,0.29,4.08
October,,,,,3.98,2.97,2.38,2.21,4.34,3.83,1.4
November,,,,,2.33,1.72,5.4,2.84,2.85,6.2,
December,,,,,4.6,2.86,0.37,3.05,2.81,6.89,
Total,,,,,35,26.71,26.81,39.53,28.29,26.87,
,,,,,,,,,,,
"NGR is based on the long/lat on the record an is in the nursery owned by the observer, R Tucker & Sons.",,,,,,,,,,,
Stated altitude is 25 ft. too low.,,,,,,,,,,,
Relationships to church and station appear to be totally wrong.,,,,,,,,,,,
This location is 450m from BLEAK HOUSE,,,,,,,,,,,
