GRIMWITH RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE062642,Long,-1.906743,Lat,54.073694,Elevation,890,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,4.2,1.65,7.03,5.96,5.41,6.48,2.13,6.36,6.03,1.68,0.51,0.74,5.25,7.56,8.13,3.28,6.73,2.9,2.31,1.95,6.16,3.02,3.87,1.87,6.4,3.97,2.83,2.84,4.78,7.55,6.93,3.24,2.83,5.25,4.15,1.77,6.54,2.36,4.29,2.52,7.41,2.4,4.79,5.47,3.62,7.03,4.2,4.35,4.28,5.87,5.98,7.34,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.79,5.51,4.45,1.29,2.11,1.66,5.99,3.99,2.29,3.85,4.9,6.06,3.67,3.53,3.7,4.12,0.87,1.79,1.45,3.19,1.3,0.77,3.1,6.24,8.7,0.98,1.67,3.66,4.09,2.85,4.83,1.81,1.68,4.66,4.4,2.55,3.26,2.67,3.56,2.9,6.05,5.36,3.09,2.34,3.67,6.93,6,1.24,6.98,2.41,4.42,0.38,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.2,2.58,2.73,4.91,3.43,5.19,1.39,5.29,4.33,2.46,3.08,3.56,6.11,5.5,1.28,3.04,3.52,4.49,1.9,4.59,3.38,4.9,2.5,1.15,1.4,4.74,3.64,5.77,7.08,2.85,2.09,0.94,3.56,2.41,6.6,2.94,3.61,3.77,3.88,4.79,3.91,0.99,3.29,5.8,6.81,4.39,1.86,4.41,3.3,2.16,5.57,3.97,3.88,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.47,2.01,3.73,5.1,0.8,2.07,1.74,3.14,4.01,2.58,2.64,2.33,1.82,5.9,3.36,2.33,2.58,3.47,1.54,3.67,3.95,1.8,3.27,2.47,0.72,3.36,2.64,2.43,2.71,4.12,4.57,2.97,2.75,1.79,2.47,2.92,3.26,1.33,2.73,3.31,3.67,2.85,2.26,1.18,4.54,1.34,2,2.72,2.73,0.96,2.71,6.33,1.47,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.86,1.92,1.42,2.7,2.1,2.13,2.38,0.86,3.44,5.12,1.84,2.35,3.49,1.72,1.37,3.01,3.62,5.7,2.7,1.43,2.11,3.13,3.04,4.61,2.45,2.36,0.58,0.69,2.25,2.28,4.56,2.36,2.09,2.87,3.93,3.68,0.7,5.29,3.82,3.14,2.41,2.57,1.69,2.95,2.77,2.5,1.82,2.41,3.03,2.46,1.76,5.18,2.27,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.34,2.02,3.21,6.73,2.05,1.37,3.89,3.93,2.05,3.39,5.77,4.57,2.39,4.55,3.17,0.35,2.76,1.22,0.06,3.18,0.32,4.56,0.9,4.68,2.77,2.64,1.97,3.95,3.6,3.45,1.83,4.31,1.49,1.46,2.02,2.58,1.9,1.51,5.97,3.83,2.6,2.42,3.22,7.75,2.29,3.01,0.44,2.68,3.1,1.23,1.2,1.44,0.18,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.62,0.63,5.66,4.38,3.53,2.84,3.24,3.03,5.02,0.66,5.47,6.59,7.26,6.08,4.77,7.57,1.58,4.64,2.15,6.59,3.81,3.66,4.29,2.58,5.12,3.24,5.21,2.56,1.52,1.43,2.48,2.92,2.61,2.71,4.33,1.95,0.9,2.59,2.08,4.75,5.35,3.24,0.79,5.61,1.37,3.85,5.14,2.51,1.63,5.63,3,7.52,2.88,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.91,1.66,2.29,3.94,3.9,5.95,2.42,2.76,6.14,7.65,5.96,2.27,6.41,3.23,3.26,1.86,1.69,2.34,3.2,4.3,5.6,6.57,6.93,5.52,3.92,3.87,3.8,1.78,5.95,5.2,2.57,6.43,3.66,2.44,4.77,4.07,5.96,4.55,3.53,3.49,3.62,5.69,2.93,6.76,2.12,2.43,3.01,3.21,8.71,3.78,3.17,2.98,5.93,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,7.32,1.73,6.2,6.33,2.53,3.92,4.36,4.85,3.73,3.69,2.22,5.05,3.8,2.35,6.13,2.34,5.76,3.07,6.38,1.19,1.62,2.94,3.33,3.12,3.76,0.37,1.96,7.43,4.2,1.22,6.06,1.37,1.62,2.02,5.32,1.94,4.08,1.25,0.82,5.23,2.63,0.43,3.41,3,1.75,2.63,0.78,2.79,2.03,9.91,2.32,1.87,2.43,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.95,9.81,4.49,7.21,4.59,4.73,6.03,2.95,6.76,4.01,2.93,5.24,6.69,5.07,6.77,3.06,8.25,6.67,3.65,1.23,6.88,2.79,4.29,8.3,4.59,6.74,4.78,4.95,2.29,7.07,3.68,6.84,2.57,3.86,10.64,1.59,2.8,8.83,6.72,2.64,4.6,4.66,4.48,4.78,2.44,2.65,1.47,10.85,5.16,3.93,4.94,3.63,2.31,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
