"GRIMWITH RESERVOIR",,,,,,,,,,,,
Grid ref,SE062642,Long,-1.906743,Lat,54.073694,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.93,3.24,2.83,5.25,4.15,1.77,6.54,2.36,4.29,2.52,,
February,4.83,1.81,1.68,4.66,4.40,2.55,3.26,2.67,3.56,2.90,,
March,0.94,3.56,2.41,6.60,2.94,3.61,3.77,3.88,4.79,3.91,,
April,2.97,2.75,1.79,2.47,2.92,3.26,1.33,2.73,3.31,3.67,,
May,2.36,2.09,2.87,3.93,3.68,0.70,5.29,3.82,3.14,2.41,,
June,4.31,1.49,1.46,2.02,2.58,1.90,1.51,5.97,3.83,2.60,,
July,2.92,2.61,2.71,4.33,1.95,0.90,2.59,2.08,4.75,5.35,,
August,6.43,3.66,2.44,4.77,4.07,5.96,4.55,3.53,3.49,3.62,,
September,1.37,1.62,2.02,5.32,1.94,4.08,1.25,0.82,5.23,2.63,,
October,6.84,2.57,3.86,10.64,1.59,2.80,8.83,6.72,2.64,4.60,,
November,6.05,7.05,2.81,2.62,3.90,7.08,5.98,3.51,3.36,2.36,,
December,5.39,5.92,4.39,3.30,3.30,2.08,3.16,6.60,2.81,6.04,,
Total,51.34,38.37,31.27,55.91,37.42,36.69,48.06,44.69,45.20,42.61,,
Calc annual,51.34,38.37,31.27,55.91,37.42,36.69,48.06,44.69,45.20,42.61,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
