KENDAL (FISHER TARN RES) - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD552929,Long,-2.690396,Lat,54.32969,Elevation,742,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3718/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.6,7.59,5.17,7.42,2.1,5.11,3.91,7.85,5.37,1.98,0.76,6.33,8.72,5.86,4.77,5.24,5.26,9.48,3.54,3.27,6.24,5.04,3.36,4.81,4.22,4.66,8.17,5.51,3.59,7.42
February,4.66,0.16,4.76,0.28,7,2.15,6.74,2.97,5.49,2.24,6.3,2.04,3.37,2.47,6.48,4.32,0.52,4.82,4.55,5.89,4.54,1.22,3.45,2.94,1.66,1.16,5.07,6.5,2.14,4.33
March,0.85,3.34,3.71,2.78,1.6,2.83,1.43,2.86,2.8,6.1,3.45,3.28,1.18,0.45,3.44,2.34,6.45,3.5,2.22,3,4.75,3.58,0.97,3.35,1.35,1.64,4.81,1.47,3.62,1.29
April,2.59,4,2.7,3.69,4.25,0.85,3.29,0.7,2.32,2.14,1.76,2.59,3.64,3.53,2.51,1.85,5.75,2.69,6.31,4.11,3.11,3.74,3.4,1.99,3.43,1.25,1.39,1.82,5.14,3.89
May,2.96,5.02,2.81,5.16,0.41,1.5,2.49,5.57,0.84,1.41,3.16,4.24,5.25,2.78,4.23,1.82,3.38,1.63,3.16,2.05,0.99,3.01,2.8,3.68,4.09,3.98,4.8,6.76,1.35,3.08
June,9.45,2.63,2.25,4.16,5.55,3.75,3.31,5.19,4.85,0.88,0.46,0.86,5.82,4.29,5.43,5.66,3.89,7.63,1.09,4.41,1.26,5.49,4.21,5.94,5.76,2.36,2.88,4.39,5.11,2.68
July,7.57,6.4,3.6,3.62,2.93,4.99,3.44,7.37,8.03,6.83,3.8,5.07,5.77,4.65,3.17,5.43,4.68,3.99,4.55,5.5,3.77,2.43,6.7,6.84,2.08,4.83,4.2,4.43,5.84,6.69
August,4.93,2.32,3.6,5.12,3.92,4.21,2.31,4.94,3.32,1.75,5.05,6.42,9.33,4.93,2.61,5.88,0.28,7.18,3.47,9.8,5.63,6.22,6.82,7.17,1.94,11.16,6.06,5.63,1.25,3.36
September,2.44,6.48,1.44,6.64,8.88,6.44,5.62,2.59,2.76,4.66,1.62,7.5,6.44,6.26,4.72,9.49,5.04,7.22,1.72,11.17,6.48,4.44,9.9,11.33,3.85,3.94,6.14,9.11,1.48,4.88
October,5.72,7.81,5.4,8.02,6.74,4.9,2.08,14.25,1.26,5.55,7.38,5.77,7.55,5.4,7.84,0.75,0.86,4.58,7.54,5.48,0.93,3.9,2.26,12.99,3.47,5.41,8.49,7.71,5.56,2.92
November,11.25,3.83,2.32,1.04,4.67,5.31,1.45,7.1,8.67,5.9,3.79,1.22,3.03,8.93,0.3,8.48,9.6,5.17,6.95,5.69,8.78,2.88,7.89,8.18,2.25,1.66,1.61,1.63,7.05,10.89
December,4.98,6.77,1.01,8.58,3.42,8.3,4.28,5.81,3.35,5.47,2.86,7.14,3.35,5.13,3.33,6.22,3.09,5.45,9.47,2.71,11.19,5.1,3.79,8.85,7.57,6.13,5.86,4.31,9.91,6.79
Total,62,56.35,38.77,56.51,51.47,50.34,40.35,67.2,49.06,44.91,40.39,52.46,63.45,54.68,48.83,57.48,48.8,63.34,54.57,63.08,57.67,47.05,55.55,78.07,41.67,48.18,59.48,59.27,52.04,58.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New gauge within 20' of old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
