"HEDNESFORD (PYE GREEN)",,,,,,,,,,,,
Grid ref,SJ989143,Long,-2.017726,Lat,52.726344,,,,,,,
Station no,2344/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,2.74,0.89,1.47,2.70,3.60,1.29,2.09,3.29,5.57,,
February,2.70,0.62,1.51,2.34,2.55,0.47,2.22,4.21,0.45,2.06,,
March,4.48,1.84,1.47,2.36,2.98,1.21,1.94,1.75,2.33,2.10,,
April,2.25,2.54,2.69,0.38,1.37,1.47,0.24,0.74,3.69,1.40,,
May,3.34,3.86,2.86,2.86,3.83,0.96,1.11,2.27,0.83,1.36,,
June,2.18,2.20,3.52,3.00,2.83,2.70,1.87,4.57,1.34,2.80,,
July,1.30,0.93,2.68,3.80,0.68,2.18,3.53,7.32,2.80,4.61,,
August,4.60,2.03,2.80,5.22,0.59,4.88,4.61,3.61,2.26,3.40,,
September,1.84,1.60,2.45,2.57,2.96,3.09,5.62,3.28,0.22,5.83,,
October,0.88,4.10,1.73,4.19,2.13,1.86,2.07,2.49,2.42,6.11,,
November,6.61,2.09,1.90,5.17,2.48,0.80,2.31,1.98,4.12,3.71,,
December,2.49,3.46,1.48,3.50,2.09,2.83,1.40,3.14,3.61,3.16,,
Total,34.96,28.01,25.98,36.86,27.19,-999.00,28.21,37.45,27.36,42.11,,
Calc annual,34.96,28.01,25.98,36.86,27.19,26.05,28.21,37.45,27.36,42.11,,
Difference,0.00,0.00,0.00,0.00,0.00,-1025.05,0.00,0.00,-0.00,0.00,,
