HEDNESFORD-PYE-GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ989143,Long,-2.0177258,Lat,52.726344,Elevation,768,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2344/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.16,3.27,3.48,2.89,5.96,3.05,3.72,3.45,4.5,2.91,2.18,2.56,2.27,4.81,1.62,0.84,2.29,2.74,0.89,1.47,2.7,3.6,1.29,2.09,3.29,5.57
February,,,,,2.4,2.14,4.71,0.74,1.14,2.01,2.96,1.22,1.16,2.43,2.42,3.22,2.31,1.29,0.53,4.45,2.7,0.62,1.51,2.34,2.55,0.47,2.22,4.21,0.45,2.06
March,,,,,0.54,1.81,2.54,0.66,1.44,2.12,2.96,1.97,1.08,0.6,1.14,0.76,5.75,1.02,1.99,0.87,4.48,1.84,1.47,2.36,2.98,1.21,1.94,1.75,2.33,2.1
April,,,,,3.14,2.02,2.33,0.22,2.15,3,1.8,1.27,1.44,2.09,1.41,1.46,1.92,2.05,2.57,1.99,2.25,2.54,2.69,0.38,1.37,1.47,0.24,0.74,3.69,1.4
May,,,,,0.86,0.81,2.56,1.4,1.71,2.86,2.8,3.44,3.2,0.91,4.32,2.49,2.9,2.02,2.4,1.1,3.34,3.86,2.86,2.86,3.83,0.96,1.11,2.27,0.83,1.36
June,,,,,2.75,4.51,1.14,2.14,1.41,0.84,1.28,0.64,2.2,2.35,2.37,2.7,2.02,4.67,0.35,1.33,2.18,2.2,3.52,3,2.83,2.7,1.87,4.57,1.34,2.8
July,,,,,0.53,5.56,2.79,3.7,5.58,4.3,4.77,2.37,1.71,3.3,1.72,1.83,3.76,1.86,1.92,2.15,1.3,0.93,2.68,3.8,0.68,2.18,3.53,7.32,2.8,4.61
August,,,,,1.66,0.83,0.62,3.48,5.31,0.61,3.94,1.76,2.53,2.1,2.79,6.73,1.26,5.56,1.78,3.37,4.6,2.03,2.8,5.22,0.59,4.88,4.61,3.61,2.26,3.4
September,,,,,3.44,3.08,3.32,3.04,1.35,0.82,0.31,1.41,3.79,3.46,1.57,4.84,1.77,2.45,1.15,4.57,1.84,1.6,2.45,2.57,2.96,3.09,5.62,3.28,0.22,5.83
October,,,,,3.54,2.14,2.31,2.85,3.89,3.68,3.12,2.99,1.98,2.94,4.38,0.75,0.46,2.54,4.43,1.09,0.88,4.1,1.73,4.19,2.13,1.86,2.07,2.49,2.42,6.11
November,,,,,5.49,2.84,1.55,3.19,4.29,7.45,3.4,1.07,2.13,3.93,0.41,5.6,2.53,1.78,3.04,3.99,6.61,2.09,1.9,5.17,2.48,0.8,2.31,1.98,4.12,3.71
December,,,,,3.2,2.54,3.12,3.59,2.11,2.2,1.58,3.41,1.01,1.64,2.06,2.74,2.38,4,1.9,2.32,2.49,3.46,1.48,3.5,2.09,2.83,1.4,3.14,3.61,3.16
Total,,,,,28.71,31.55,30.47,27.9,36.34,32.94,32.64,25,26.73,28.66,26.77,35.68,29.33,34.05,23.68,28.07,34.96,28.01,25.98,36.86,27.19,26.05,28.21,37.45,27.36,42.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is in Pye Green with correct relationship to tower. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
