WIGAN (GRAMMAR SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,SD580062,Long,-2.635387,Lat,53.550741,Elevation,120,ft,,,,,,,,,,,,
Station no,"""2994/1/9""",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.13,2.68,1.64,3.54,3.96,1.66,3.26,2.69,5.48,,3.84,,
February,,,,,,,,2.35,2.1,4.68,2.54,1.68,1.71,1.87,2.62,1.44,,6.38,,
March,,,,,,,,1.43,2.57,1.73,4.02,2.02,3.1,2.32,2.64,1.26,,2.05,,
April,,,,,,,,1.21,3.37,3.02,1.85,3.6,2.22,0.85,2.23,2.03,0.65,0.52,,
May,,,,,,,2.68,2.16,3.03,1.66,2.36,2.08,3.29,2.32,3.78,1.41,2.12,4.29,,
June,,,,,,,2.02,4.35,0.89,3.1,1.37,2.4,2,2.73,3.68,2.41,1.83,5.81,,
July,,,,,,,2.61,1.93,2.8,3.58,2.57,1.29,4.02,4.84,0.84,5.2,,2.56,,
August,,,,,,,0.18,5.03,2.42,5.5,4.54,3.39,4.24,5.09,1.25,8.49,,4.91,,
September,,,,,,,3.11,2,1.18,6.23,2.77,4.29,3.23,4.22,4.1,3.88,,4.01,,
October,,,,,,,0.54,2.75,3.88,2.89,0.8,4.82,2.22,9.46,2.79,2.56,4.69,3.44,,
November,,,,,,,3.99,2.09,5.25,4.49,7.98,2.39,4.5,6.72,1.84,1.65,,1.54,6.77,
December,,,,,,,3.76,3.59,4.86,3.04,7.13,3.58,1.37,5.03,5.14,1.98,,3.77,6.48,
Total,,,,,,,,37.02,35.03,41.56,41.47,35.5,33.56,48.71,33.6,37.79,,43.12,,
