BLAENAU-FESTINIOG-LLECHWEDD-QUARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH697468,Long,-3.9431892,Lat,53.002617,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,13.19,16.97,14.9,5.37,8.77,10.38,17.65,21.54,10.37,12.67,8.07,8.65,12.34,12.15,23.63,5.51,17.47,14.37,14.52,9.68,12.27,6.71,8.9,10.85,17.41,12.67,5.37,3.4,14.22,11.83,18.41,9.22,15.31,8.99,23.52,9.89,7.81,9.88,12.83,5.2,9.66,7.58,7.8,18.61,9.51,8.94,14.52
February,,,,,9.65,11.74,12.33,3.68,17.23,2.38,14.37,0.94,13.62,15.34,2.53,14.25,15.71,8.34,17.06,3.71,0.56,12.9,0.28,10.43,1.28,18.31,5.46,13.7,6.43,13.26,7.05,9.14,5.23,9.58,6.35,14.39,15.9,0.52,8.58,6,12.78,8.19,4.55,8.78,8.7,4.66,1.4,5.83,13.44,4.39,7.06
March,,,,,13.82,6.95,2.63,4.78,5.59,15.25,10.75,14.58,7.4,3.57,3.39,4.8,5.58,9.97,5.32,4.84,5.78,1.79,6.63,5.56,7.76,3.87,5.68,4,7.73,5.61,9.04,7.72,6.19,5.09,2.04,6.13,4.18,11.8,8.06,6.05,5.93,11.98,11.79,4.74,7.54,2.68,5.21,11.47,3.07,5.29,3.23
April,,,,,2.13,6.67,9.36,6.9,3.02,6.7,12.41,3.43,4.54,8.71,5.61,8.45,4.43,5.97,4.72,3.41,5.99,7.83,10.25,3.5,6.33,7.38,2.91,9.13,1.18,6.33,5.77,4.12,3.31,5.06,6.25,5.39,3.89,8.57,4.46,10.89,11.42,7.73,4.04,6.61,4.22,11.03,3.37,1.91,4.64,7.8,6.28
May,,,,,6.66,4.24,7.53,3.45,5.25,3.34,14.07,5.44,5.51,8.37,12.9,9.97,8.44,4.74,1.86,7.8,5.48,5.48,10.45,3.64,10.7,2.6,3.3,2.16,6.36,1.55,2.43,7.72,5.9,8.39,7.69,8.96,2.63,4.03,3.38,6.47,1.91,2.64,3.04,5.18,5.26,8.45,5.27,4.37,8.6,1.84,2.73
June,,,,,3.3,3.34,6.49,5.32,5.34,7.73,4.93,0.88,4.49,5.17,10.02,0.11,7.59,11.96,20.77,5.36,6.84,13.42,2.79,6.94,7.18,10.58,10.66,7.27,13.54,7.38,1.2,1.32,1,11.31,8.53,8.49,11.98,4.51,13.72,2.61,8.92,3.76,9.44,4.12,8.04,12.46,5.21,5.21,5.31,4.18,3.94
July,,,,,8.72,12.23,4.23,6.32,8.17,3.27,18.14,7.62,10.57,10.63,9.36,4.38,10.17,7.09,12.45,10.37,10.7,14.46,12.8,8.56,3.39,3.14,12.37,5.74,11.69,16.66,7.93,3.58,10.72,9.27,9.38,5.98,8.65,9.15,7,4.94,8.98,4.75,3.09,13.56,15.28,3.24,11.82,15.47,8.8,8.26,11.44
August,,,,6.61,10.43,8.06,8.08,18.65,8.21,8.3,7.77,15.48,9.82,15.07,14.84,12.96,9.45,22,10.91,17.92,10.96,8.42,2.56,4.41,12.78,6.93,9.72,4.58,7.43,5.6,4.32,11.41,7.95,17.29,8.19,2.99,10.53,0.79,12.09,9.18,14.9,10.49,6.52,10.61,13.07,3.27,18.36,10.54,8.12,1.9,6.5
September,,,,6.71,5.48,3.63,7.68,9.58,25.22,11.23,10.36,4.29,12.16,13.56,14.52,7.45,7.18,13.85,3.08,5.24,7.7,6.53,12.99,1.9,9.91,16.74,10.82,6.37,4.4,2.9,9.14,1.76,10.99,10.86,11.42,9.5,18.23,7.85,14.71,2.52,20.42,14.7,8.46,10.99,11.42,6.31,9.41,14.86,14.98,1.43,10.17
October,,,,7.22,2.95,2.36,19.57,20.19,17.1,5.39,4,8.13,3.56,16.86,12.27,13.29,8.14,15.14,14.82,14.92,18.76,11.09,18.3,10.82,18.92,19.89,10.3,4.3,19.82,4.82,10.35,10.93,16.33,12.75,11.41,8.82,1.92,1.55,10.43,12.05,10.82,2.01,7.54,4.29,27.53,7.02,8.88,20.49,10.21,12.53,7.33
