COVENTRY PRIORY ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP336790,Long,-1.507501,Lat,52.407979,Elevation,279,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.68,2.13,3.3,1.33,1.07,4.41,1.98,2.39,3.27,1.95,3.76,1.83,2.53,0.51,0.96,2.31,3.3,2.82,2.13,3.01,3.48,0.92,0.92,2.8,2.14,1.26,1.78,1.54,3.97,1.31,2.18,0.89,3.82,3.63,1.17,1.2,2.48,2.99,,,,,
February,1.58,1.51,2.49,2.42,1.47,2.24,1.24,1.77,1.24,3.4,1.73,1.57,3.25,3.03,4.2,2.12,3.48,1.61,3.36,0.85,0.66,0.91,2.01,0.64,0.18,0.87,3.21,2.21,0.16,0.46,3.3,1.22,2.86,4.32,1.72,1.61,1.18,,,,,,
March,3.45,2.85,1.89,1.37,1.25,2.15,2.63,1.05,0.63,2.8,1.92,1.1,0.9,1.68,2.05,1.6,1.12,2.03,1.01,2.54,1.91,2.43,3.8,1.62,1.17,0.8,0.36,0.95,1.87,2.49,2.91,0.97,1.4,0.69,1.86,1.77,4.37,,,,,,
April,2.58,1.72,1.34,0.89,2.81,2.58,0.6,1.45,1.38,3.21,2.54,2.04,2.67,1.7,0.62,3.38,1.41,1.97,2.44,2,0.96,1.73,3.24,1.42,2.03,0.8,0.32,1.68,1.89,1.07,2.51,2.31,2.15,1.27,2.16,2.41,1.78,,,,,,
May,2.3,1.09,5.23,0.82,1.2,2.06,2.56,2.63,1.93,0.68,2.81,6.11,2.62,1.67,1.04,1.32,2,1.19,2.57,4.82,1.45,1.1,3.53,2.36,3.06,1.51,1.97,2.45,0.56,0.32,1.88,2.7,2.37,1.73,0.87,2.38,3.64,,,,,,
June,1.74,0.37,1.31,0.95,2.77,4.45,3.2,1.1,3.96,1.99,0.91,2.86,5.16,2.4,1.9,3.86,3.4,1.94,2.21,0.71,1.75,1.55,1.1,1.52,2,3.5,0.91,1.63,0.89,3.53,2.71,0.89,1.57,3.47,2.67,2.94,3.11,,,,,,
July,1.82,0.19,0.54,1.12,4.81,4.02,2.35,0.85,5.45,1.23,3.76,2.78,3.19,5.16,2.23,4.12,3.69,3.98,0.08,2.73,0.83,5.89,1.75,2.31,3.06,2.67,1.68,2.69,2.97,2.07,0.25,1.1,1.14,1.61,2.39,1.36,3,,,,,,
August,2.04,4.87,1.22,2.18,0.68,2.69,3.26,2.37,1.22,1.85,4.12,5.57,5.18,1.39,5.46,1.96,0.81,2.69,3.62,1.42,2.1,2.73,2.6,2.7,3.78,2.56,1.74,2.41,2.11,2.21,3.97,3.88,1.17,3.12,1.88,3.86,4.23,,,,,,
September,3.16,3.06,2.54,1.5,5,2.38,1.51,3.53,3.19,5.44,1.97,2.92,3.32,5.2,1.82,2.62,4.69,1.03,3.2,1.54,2.66,1.46,2.77,1.26,0.98,2.49,1.19,2.52,0.79,4.9,2.37,0.65,4.64,0.53,1.32,1.25,2.46,,,,,,
October,2.8,2.47,1.46,4.58,1.49,3.88,1.98,2.74,6.83,1.78,2.48,2.59,0.85,5.53,3.18,5.78,2.57,1.65,4.37,3.92,2.16,0.48,2.29,1.5,5.81,2.81,3.34,3.18,3.19,2.73,1.81,2.88,2.35,2.97,1.49,2.55,7.04,,,,,,
November,0.48,1.56,2.17,1.95,1,4.48,1.13,2.85,4.25,3.87,3.45,3.51,1.19,2.11,2.98,4.25,4.02,1.87,3.93,2.28,1.73,3.72,1.24,3.14,2.3,2.12,1.69,2.56,4.02,1.53,1.5,2.18,1.62,2.15,0.82,1.94,2.03,,,,,,
December,2.14,5.62,3.86,2.19,1.36,4.14,0.42,1.74,1.26,5.96,1.96,1.93,0.79,3.36,2.81,3.78,0.92,2.02,0.79,3.51,1.93,2.37,1.9,0.8,3.19,1.59,2.24,2.41,2.05,3.57,2.8,2.58,2.03,5.36,4.34,1.73,1.55,,,,,,
Total,27.77,27.44,27.35,21.3,24.91,39.48,22.86,24.47,34.61,34.16,31.41,34.81,31.65,33.74,29.25,37.1,31.41,24.8,29.71,29.33,21.62,25.29,27.15,22.07,29.7,22.98,20.43,26.23,24.47,26.19,28.19,22.25,27.12,30.85,22.69,25,36.87,,,,,,
