"INVERNESS HIGH SCHOOL",,,,,,,,,,,,
Grid ref,NH971451,Long,-3.717958,Lat,57.484417,,,,,,,
Station no,RR1094,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.14,1.85,2.14,4.47,2.39,1.87,3.91,1.73,1.83,2.93,,
February,1.44,2.41,0.98,4.12,2.43,2.59,2.92,2.25,3.39,2.04,,
March,1.67,3.00,1.81,4.15,0.71,2.85,2.32,2.27,3.69,2.44,,
April,1.18,1.10,0.84,1.76,3.40,1.55,1.83,1.58,0.95,1.95,,
May,1.36,1.01,2.53,1.82,2.20,1.77,3.43,2.17,0.95,2.13,,
June,2.08,2.52,3.67,1.97,1.47,0.54,0.97,4.43,1.26,1.44,,
July,3.50,0.90,3.25,3.80,0.81,2.23,2.12,2.34,1.54,2.44,,
August,3.49,1.63,2.68,2.63,3.53,2.94,3.33,2.77,1.82,1.51,,
September,3.58,1.31,1.89,2.04,2.00,1.37,1.36,0.68,5.04,1.72,,
October,3.36,2.73,1.77,4.81,1.43,3.27,3.64,4.13,0.51,4.36,,
November,3.34,2.26,0.62,3.08,2.15,3.45,3.55,2.02,2.33,1.46,,
December,4.89,2.72,3.65,0.76,2.72,1.46,2.05,1.92,1.93,1.94,,
Total,34.03,23.44,25.83,35.41,25.24,25.89,31.43,28.29,25.24,26.36,,
Calc annual,34.03,23.44,25.83,35.41,25.24,25.89,31.43,28.29,25.24,26.36,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
