POMONA TANKERNESS,,,,,,,,,,,,,,,,,,,,
Grid ref,HY 524 088,Long,-2.828657,Lat,58.963768,Elevation,12,ft,,,,,,,,,,,,
Station no,RR20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,2.35,4.55,3.71,2.26,4.25,3.39,3.13,3.49,3.7,1.73,2.1,1.71,3.13,3.29,4.68,2.18,,,,
February,1.75,5.97,2.12,0.66,1.2,1.54,2.51,3.94,1.54,1.26,3.33,2.79,3.08,2.94,1.5,3.1,,,,
March,1.21,2.11,1.43,2.23,2.61,1,4.81,2.15,2.91,2.27,2.05,2.85,4.52,2.18,3.63,3.19,,,,
April,2.44,1.79,2.14,1.53,1.63,2.56,2.65,1.42,0.15,1.17,1.57,1.12,2.25,1.57,0.92,0.95,,,,
May,1.61,1.07,1.69,1.69,1.07,1.43,1.26,2.37,1.53,2.48,1.66,2,1.2,2.67,2.25,1.75,,,,
June,0.97,0.58,3.92,1.56,1.8,1.43,1.58,3.42,1.08,0.83,2.11,1.95,3.41,0.99,1.16,1.92,,,,
July,0.65,3.2,2.11,2.87,2.76,2.85,2.88,2.71,2.06,2.65,2.48,3.8,2.37,2.02,1.44,1.49,,,,
August,1.33,3.57,3.42,3.02,3.52,2.74,3.13,2.41,1.13,3.3,0.36,2.59,2.79,3.27,2.25,1.04,,,,
September,3.26,3.35,3.14,3.76,4.21,2.67,2.69,1.22,4.95,2.57,3.92,0.88,3.79,3.2,1.54,3.66,,,,
October,2.26,2.33,5,6.07,3.55,2.8,4.52,3.52,3.66,3.47,3.65,3.86,2.62,4.03,5.98,4.03,,,,
November,4.07,3.85,4.61,4.47,3.82,4.07,5.25,5.58,4.78,3.18,4.15,2.38,4.58,4.44,4.21,1.88,,,,
December,4.57,2.79,4.48,3.76,4.11,2.18,3.36,4,4.35,2.31,4.04,4.37,4.23,4.47,4.52,4.19,,,,
Total,26.47,35.16,37.77,33.88,34.53,28.66,37.77,36.23,31.84,27.22,31.42,30.3,37.97,35.07,34.08,29.38,,,,
