"LOCHGILPHEAD POLTALLOCH",,,,,,,,,,,,
Grid ref,NR813965,Long,-5.519021,Lat,56.111029,,,,,,,
Station no,5414,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.95,5.90,5.85,,,,,,,
February,,,1.35,7.00,4.30,,,,,,,
March,,,4.70,6.50,3.20,,,,,,,
April,,,2.12,1.60,5.05,,,,,,,
May,,,2.88,2.40,1.90,,,,,,,
June,,,0.87,1.20,2.00,,,,,,,
July,,,3.42,4.00,3.40,,,,,,,
August,,,2.45,8.20,3.50,,,,,,,
September,,,4.75,2.60,4.00,,,,,,,
October,,,3.55,8.80,3.40,,,,,,,
November,,,4.93,5.00,4.50,,,,,,,
December,,,4.75,4.80,5.40,,,,,,,
Total,,44.03,40.72,58.00,46.50,,,,,,,
Calc annual,0.00,0.00,40.72,58.00,46.50,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,44.03,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
