LOCHGILPHEAD (POLTALLOCH),,,,,,,,,,,,
Grid ref,NR813965,Long,-5.519021,Lat,56.111029,,,,,,,
Station no,5414,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.72,7.60,4.16,6.12,3.31,4.24,8.29,6.33,1.75,,,
February,3.56,2.54,2.91,3.70,3.63,2.68,4.11,4.10,1.30,,,
March,4.10,4.04,2.03,3.92,0.97,2.87,6.20,0.83,4.72,,,
April,2.94,1.85,4.41,2.47,5.08,1.60,2.02,2.54,3.05,,,
May,0.59,1.51,5.35,4.04,3.11,2.84,2.14,2.95,1.25,,,
June,2.74,3.71,1.40,5.19,3.82,2.64,3.79,3.65,,,,
July,5.23,4.67,6.37,5.66,1.40,6.27,5.98,5.30,,,,
August,4.21,5.79,7.29,4.99,1.87,6.10,5.28,5.60,,,,
September,4.23,5.27,8.73,9.61,6.29,5.27,4.23,4.75,,,,
October,3.42,6.80,5.82,11.01,5.63,3.35,8.21,6.00,,,,
November,7.83,2.54,12.28,11.44,1.75,4.05,3.05,2.75,,,,
December,10.92,6.43,6.01,10.97,8.39,5.69,5.71,6.00,,,,
Total,56.49,52.75,66.76,79.12,45.25,47.60,59.01,50.80,,,,
Calc annual,56.49,52.75,66.76,79.12,45.25,47.60,59.01,50.80,12.07,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
