TREDEGAR-REDESDALE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO146081,Long,-3.2389009,Lat,51.765043,Elevation,963,ft.,,,,,,,,,,,,,
Station no,RR6166,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,9.25,2.87,4.05,2.65,1.92,4.96,5.91,6.73,5.64,4.95,3.91,8.15,6.47,9.29,7.25,10.14,2.51,11.31
February,,,,3.51,8.09,7.98,6.63,1.31,3.16,3.77,1.89,0.19,5.45,14.9,0.68,10.31,5.04,5.31,5.2,1.48,0.8
March,,,,10.22,7.99,1.33,3.41,5.1,2.79,5.02,5.73,4.24,4.12,2.76,2.65,1.35,1.32,5.77,5.8,0.8,4.21
April,,,,9.56,2.53,1.61,1.97,2.83,2.12,2.33,7.23,1,3.41,4.03,5.17,4.62,3.5,1.95,2.48,0.89,4.76
May,,,,4.31,2.62,3.1,4.23,3.31,1.64,0.66,3.16,1.89,0.74,2.92,6.11,6.33,3.48,1.66,0.76,3.95,1.86
June,,,,2.19,2.91,1.25,2.29,2.68,1.67,1.17,3.86,0.67,1.04,0.6,2.39,0.01,2.65,5.6,3.87,3.48,1.15
July,,,6.6,0.83,6.22,5.1,1.65,2.83,4.92,2.31,5,1.32,4.66,2.83,6.96,2.48,3.17,5.6,1.85,3.9,4.01
August,,,11.66,2.05,3.8,2.35,5.19,8.68,2.7,3.32,1.53,3.54,3.8,4.37,5.78,6.3,5.24,7.8,4.45,2.26,6.76
September,,,1.28,3.22,2.79,0.9,2.07,3.33,11.23,2.18,3.09,2,4.08,5.22,8.71,4.26,1.83,7.43,1.61,1.45,6.3
October,,,6.76,6.94,3.46,4.78,9.41,6.25,2.75,2.15,5.26,1.71,1.88,9.95,5.77,6.69,4.68,4.83,10.53,7.4,8.57
November,,,4,6.68,5.67,3.02,5.17,2.22,4.77,3.55,2.15,3.32,2.9,4.02,4.08,3.24,11.71,5.27,7.57,14.2,6.58
December,,,9.26,2.33,7.92,8.7,3.24,1.49,7.73,8.43,6.07,1.97,8.79,5.22,9.22,4.96,0.54,4.39,5.32,12.51,6.9
Total,,,,61.09,56.87,44.17,47.91,41.95,50.44,40.8,51.7,27.49,45.82,60.73,65.67,57.02,52.45,62.86,59.58,54.83,63.21
,,,,,,,,,,,,,,,,,,,,,
NGR is The gas works (mentioned on one record) with correct relationship to church and station. Altitudes match,,,,,,,,,,,,,,,,,,,,,
