BRIDGE OF ALLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS800970,Long,-3.933252,Lat,56.150542,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.67,3.86,3.69,4.45,3.35,3.98,1.07,5.4,3.86,6.21,3.65,2.27,1.91,5.47,5.78,3.82,3.17,4.87,5.39,,,
February,,,,,,,,,,1.63,0.45,2.35,0.22,2.53,0.25,2.77,2.21,3.58,1.46,4.26,1.5,4.53,1.51,2.88,1.25,5.4,2.43,2.3,,,
March,,,,,,,,,,0.51,2.41,1.25,2.22,2.12,3.29,1.48,2.56,2.78,2.11,2.95,3.31,2.52,2.82,1.71,0.39,2.39,2.91,3.68,,,
April,,,,,,,,,,0.84,1.1,1.96,3.6,0.98,5.11,3.27,0.95,1.88,0.47,1.54,3.09,1.32,2.89,2.08,2.42,1.89,0.8,5.74,,,
May,,,,,,,,,,2.52,1.33,3.48,3.42,1.93,1.53,0.2,1.18,2.13,3.78,1.54,2.45,2.62,3.52,4.76,2.01,4.35,1.5,3.88,,,
June,,,,,,,,,,1.77,2.35,5.76,1.45,1.04,1.94,3.67,1.27,1.95,4.44,1.73,0.81,0.79,1.54,2.87,2.89,3.48,2.75,4.43,,,
July,,,,,,,,,,2.84,4.3,4.97,2.23,3.52,2.81,0.74,3.2,3.39,3.67,4.79,4.1,3.35,1.79,1.96,2.87,3.97,3.86,4.29,,,
August,,,,,,,,,,4.62,6.61,1.46,1.13,1.82,3.49,2,2.38,3.31,2.88,1.97,1.14,3.61,4.77,5.38,2.21,2.36,4.3,0.03,,,
September,,,,,,,,,3.21,0.88,3.97,1.16,2.42,1.2,4.34,5.08,3.12,2.26,3.5,2.49,2.59,1.64,4.95,3.06,3.29,5.8,5.67,,,,
October,,,,,,,,,5.4,3.92,4.78,2.11,5.55,3.04,5.02,6.81,3.18,3.52,6.26,2.99,4.77,4.29,3.41,7.04,4.03,5.17,0.64,,,,
November,,,,,,,,,4.78,4.9,4.47,7.37,2.48,2.25,0.76,3.59,2.65,0.63,6.57,6.87,5.36,3.2,0.73,2.17,6.82,0.42,5.88,,,,
December,,,,,,,,,4.13,6.68,3.7,2.18,5.99,0.73,4.88,2.37,4.75,3.29,3.45,2.07,3.92,2.76,4.65,1.76,4.36,4.16,4.05,,,,
Total,,,,,,,,,,32.78,39.33,37.74,35.16,24.51,37.4,33.05,32.85,32.58,44.8,36.85,35.31,32.54,38.05,41.45,36.36,42.56,39.66,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G moved 1/9/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 -999s Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Based on Valuation rolls webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,891160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas NGR NS7928396604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
