WELLS-DINDER,,,,,,,,,,,,,,,,,,,,
Grid ref,ST576445,Long,-2.60821,Lat,51.19813,Elevation,190,ft,,,,,,,,,,,,
Station no,RR7938,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.34,3.38,6.17,5.52,7.01,5.39,4.19,3.42,7.65,3.9,3.81,5.51,1.9,,,
February,,,,,2.04,3.29,4.04,2.93,1.07,2.94,2.24,2.5,4.34,1.12,1.95,2.78,3.48,,,
March,,,,,2.53,1.26,2.29,3.91,5.04,4.17,1.94,2.49,3.43,5.56,1.32,1.15,6.02,,,
April,,,,,1.31,0.79,2.27,3.21,3.32,2.66,0.66,5.3,3.22,0.79,2.18,1.63,3.46,,,
May,,,,,1.36,2.49,2.35,2.72,1.22,5.54,1.37,0.98,2.64,2.02,0.69,2.63,0.52,,,
June,,,,,1.94,1.97,2.45,1.76,1.37,3.37,1.33,2.22,4.05,1.32,2.06,3.93,1.19,,,
July,,,,0.57,1.3,4.35,2.68,5.24,0.94,1.38,1.19,7.45,3.34,2.85,2.27,6.06,1.6,,,
August,,,,3.77,1.28,6.21,2.79,2.94,4.24,1.99,4.21,1.04,2.51,3.85,4.14,2.16,4.97,,,
September,,,,5.59,3.68,0.21,8.37,2.73,3.79,4.67,1.53,5.26,2.97,2.26,5.76,3.06,5.87,,,
October,,,,5.56,1.71,6.82,2.15,4.82,4.51,2.76,6.17,3.1,5.22,1.81,5.93,7.19,3.24,,,
November,,,,3.45,3.87,4.01,2.65,1.26,1.94,5.19,2.36,1.64,4.56,4.45,2.7,5.7,3.61,,,
December,,,,2.32,2.66,2.7,4.12,3.9,6.79,5.39,1.88,3.61,6.41,0.92,3.3,1.1,9.59,,,
Total,,,,,25.02,37.48,42.33,40.94,41.24,45.45,29.07,39.01,50.34,30.85,36.11,42.9,45.45,,,
,,,,,,,,,,,,,,,,,,,,
Rectory,,,,,,,,,,,,,,,,,,,,
Given elevation of 140ft not possible around here ,,,,,,,,,,,,,,,,,,,,
1869 A strange coincidence Precisely the same amount of rain fell in Jan and Dec 1869 ,,,,,,,,,,,,,,,,,,,,
1872 Dec 8 Gauge blown over,,,,,,,,,,,,,,,,,,,,
