CLUNES FORT WILLIAM LOCHABER,,,,,,,,,,
Grid ref,NN 200 885,Long,-4.961159,Lat,56.952337,Elevation,130,ft,,
Station no,5724/5,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,8.02,13.12,,,
February,,,,,,4.54,9.24,,,
March,,,,,,3.51,3.39,,,
April,,,,,,2.53,3.57,,,
May,,,,,,3.37,2.04,,,
June,,,,,,1.39,2.35,,,
July,,,,,,3.57,3,,,
August,,,,,,4.67,3.7,,,
September,,,,,,4.83,5.39,,,
October,,,,,,4.04,5.54,,,
November,,,,,,4.17,6.24,,,
December,,,,,,7.78,11.28,,,
Total,,,,,,52.42,68.86,,,
,,,,,,,,,,
,,,,,,,,,,
