"CLUNES (LOCH LOCHY W)",,,,,,,,,,,,
Grid ref,NN199884,Long,-4.962949,Lat,56.951686,,,,,,,
Station no,5724/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.82,8.36,6.92,8.76,4.67,7.37,17.43,,,,,
February,5.51,5.01,7.97,4.48,4.22,4.73,5.36,,,,,
March,2.47,5.62,3.93,5.18,1.26,3.93,6.86,,,,,
April,8.55,3.67,5.31,2.68,4.30,5.15,,,,,,
May,0.46,2.75,5.09,5.95,4.59,6.82,2.21,,,,,
June,3.18,4.06,1.99,4.00,3.79,3.22,3.88,,,,,
July,5.12,3.99,6.95,3.99,1.44,6.72,6.11,,,,,
August,6.45,4.23,6.38,6.76,1.92,5.64,6.82,,,,,
September,6.67,6.07,7.85,9.15,8.82,8.14,,,,,,
October,3.36,8.86,5.83,12.78,7.24,9.22,,,,,,
November,7.90,4.66,12.56,9.94,2.73,7.49,,,,,,
December,14.13,9.27,9.35,13.54,11.31,13.36,,,,,,
Total,73.62,66.55,80.13,87.21,56.29,81.79,,,,,,
Calc annual,73.62,66.55,80.13,87.21,56.29,81.79,48.67,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
