TATHAM FELLS (MOOR COCK FARM),,,,,,,,,,,,,,,,,,,,
Grid ref,SD673648,Long,-2.5012751,Lat,54.078077,Elevation,816,ft,,,,,,,,,,,,
Station no,3050/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,7.3,6,2.35,1.25,4,6.15,6.5,3.35,3.6,,,,
February,,,,,,,,2,4.07,1.9,5.26,2,2.4,1.85,5.4,5.45,,,,
March,,,,,,,,1.2,2.54,3.4,2.7,2.7,1.2,0.45,2.5,1.5,,,,
April,,,,,,,,0.6,1.48,0.85,,2,3.25,2.65,2.5,1.1,,,,
May,,,,,,,,3.05,0.5,1.4,2.25,3.5,3.5,1.85,2.5,1.5,,,,
June,,,,,,,,5.01,2.95,2.15,0.25,1.3,3.5,2.85,4.35,3.85,,,,
July,,,,,,,,4.05,6.05,5.85,2.5,5.5,3.25,4,4.15,4.25,,,,
August,,,,,,,,4.04,2.1,2.1,4.65,4.35,6.55,2,2.45,,,,,
September,,,,,,,,2.04,1.5,5.3,,4.15,4.5,6.5,3.65,,,,,
October,,,,,,,,10.04,1.95,3.45,7.78,5.4,4.1,6,6.53,,,,,
November,,,,,,,,6.03,5.2,4.45,2.15,1.15,3,6,0.25,,,,,
December,,,,,,,,5.04,2.35,4.35,2.85,4.3,3.2,3.2,2.75,,,,,
Total,,,,,,,,50.4,36.69,37.55,,40.35,44.6,43.85,40.38,,,,,
,,,,,,,,,,,,,,,,,,,,
1941 Mar. Sept estimated from monthly maps - removed along with total,,,,,,,,,,,,,,,,,,,,
