PENZANCE MORRAB (PENLEE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW470300,Long,-5.540377,Lat,50.116045,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,4.8,3.87,3.4,6.14,3.87,2.77,3.24,6.43,3.28,2.37,3.64,3.91,7.37,1.58,3.85,1.32,5.56,7.92,3.46,2.37,5.43,6.07,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,6.2,4.59,4.76,2.43,1,1.47,4.03,1.89,0.11,5.28,5.37,2.96,0.24,1,4.62,2.41,3.92,6.56,2.64,2.26,2.08,7.83,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.03,4.51,2.26,3.71,1.59,4.83,4.69,1.79,3.55,1.1,0.2,1.88,3.12,3.13,5.41,1.82,1.15,3.1,2.89,2.9,5.74,2.39,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.64,1.71,3.21,3.66,1.03,1.62,2.56,3.72,2.26,1.6,0.22,2.49,2.17,0.84,4.92,2.37,3.07,2.33,4.1,2.32,1.7,1.89,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.31,1.31,3.61,2.26,1.55,1.55,2.97,7.18,3.15,2.24,0.86,3.5,0.08,0.07,1.64,3.86,2.33,2.11,1.17,1.63,1.67,3.74,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.81,1.51,2.11,1.08,0.11,3.44,0.7,3.71,2.96,1.67,1.22,2.29,2.14,1.24,2.42,1.89,1.57,3.62,2.6,2.98,1.89,1.69,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.02,4.44,0.75,3.99,1.4,5.77,3.34,5.15,1.65,1.23,5.05,5.26,3.01,3.33,0.88,0.49,1.01,0.97,0.7,2.88,4.49,2.57,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.47,2.03,2.46,1.8,1.69,3.33,3.12,3.58,7.09,4.92,1.77,2.75,2.78,2.23,5.14,2.22,2,3.33,1.57,2.54,4.99,3.62,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,7.44,2.72,6.27,3.36,4.03,1.77,1.93,2.04,4.21,3.53,3.24,2.1,0.22,5.84,5.22,1.2,3.09,1.71,4.89,2.76,4.79,3.19,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.05,2.22,9.37,6.17,4.87,3.14,6.82,2.32,9.2,4.73,3.31,4.67,7.51,5.05,1.93,6.68,3.16,3.33,2.52,3.68,8.57,3.13,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,6.14,3.12,4.66,4.39,4.15,8.55,4.22,5.68,5.28,5.13,3.27,9.42,5.89,1.72,3.34,5.51,3.11,7.18,1.91,5.71,4.3,3.36,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,1.61,4.18,2.59,7.7,4.51,4.82,3.75,4.88,5.82,3.4,5.55,4.74,8.52,8.05,7.78,5.26,6.03,7.41,7.96,3.3,7.45,4.62,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,43.52,36.21,45.45,46.69,29.8,43.06,41.37,48.37,48.56,37.2,33.7,45.97,43.05,34.08,47.15,35.03,36,49.57,36.41,35.33,53.1,44.1,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1857 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
