PENZANCE MORRAB (South Parade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW471301,Long,-5.5381,Lat,50.1171,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.18,7.83,1.51,4.99,4.43,3.36,6.9,7.05,5.57,6.92,6.93,2.77,5.96,8.99,5.77,5.15,9.54,1.47,7.71,3.21,8.42,1.27,3.24,3.63,4.98,4.34,3.48,6.14,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.3,1.89,6.62,2.13,1.48,1.66,5.63,5.65,3.52,2.62,3.98,3.53,2.24,6.32,6.62,3.7,3.24,5.39,1.84,2.29,5.91,4.64,5.15,4.04,6.54,4.9,4.7,2.6,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.74,3.02,2.93,5.06,3.29,2.63,2.84,3.76,5.14,2.25,2.82,3.31,1.53,4.41,4.28,1.58,1.2,5.07,3.5,2.5,1.39,3.16,3.9,1.34,2.05,4.63,2.21,3.79,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.1,1.14,1.39,2.91,1.6,1.28,1.03,4.22,3.12,2.97,1.42,0.1,4.47,3.06,0.58,2.68,2.54,2.82,3.88,4.46,2.87,2.69,1.18,5.66,1.76,1.79,3.12,3.51,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.04,3.63,1.29,1.99,2.16,1.33,3.12,2.1,2.84,1.68,4.15,1.72,0.37,1.86,2.12,0.68,2.88,0.12,3.74,4,2.39,1.54,1.14,1.33,2.23,1.25,3.42,2.09,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.59,5,2.17,3.26,4.29,1.76,1.42,2.45,0.35,0.66,0.5,0.43,1.2,3.3,2.02,2.24,3.33,1.46,1.3,2.56,6.93,1.68,3.94,4.2,2.77,1.45,2.12,0.97,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1,1.68,6.81,3.59,1.44,0.77,3.29,0.96,4,0.86,0.65,1.76,5.34,2.65,4.23,1.38,3.4,0.78,4.16,2.06,3.98,3.84,3.75,5.15,3.12,4.23,0.69,3.86,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.4,5.29,2.02,1.81,3.91,1.25,4.35,4.8,1.19,3.83,0.8,2,1.94,2.08,5.12,3.07,1.99,4.42,5.44,4.18,6.45,0.39,4.39,4.03,1.62,1.88,2.07,1.67,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.42,3.52,3.51,3.47,4.09,4.03,0.1,7.15,1.28,2.55,4.83,1.69,7.96,2.53,2.73,5.25,4.95,3.41,2.96,2.56,4.81,2.85,1.96,4.37,7.55,3.89,5.74,3.06,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.34,3.86,1.92,6.83,3.36,2.67,8.21,2,5.16,5.4,2.35,6.02,6.36,7.42,4.25,5.61,8.77,4.09,3.71,5.52,2.33,7.82,2.36,6.94,4.24,2.09,8.41,5.97,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
