"STAFFORD WEST BANK DOXEY",,,,,,,,,,,,
Grid ref,SJ908234,Long,-2.137920,Lat,52.808069,,,,,,,
Station no,RR2994,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.15,1.85,1.10,1.70,2.10,1.07,4.17,1.52,1.30,1.44,,
February,2.97,1.43,1.18,1.20,3.00,0.68,2.24,1.54,1.50,0.41,,
March,0.71,1.65,1.61,3.59,1.35,2.72,1.77,1.38,2.91,2.65,,
April,0.93,1.81,1.57,1.49,1.75,1.86,1.72,1.88,2.58,1.86,,
May,1.85,0.73,2.48,2.18,2.10,0.57,2.52,4.19,3.50,1.49,,
June,3.36,2.52,2.42,0.90,0.52,2.12,1.35,2.66,2.10,2.93,,
July,2.56,2.39,1.45,1.73,1.86,1.65,0.80,2.73,2.17,3.35,,
August,4.28,3.05,3.65,4.64,4.14,4.10,2.62,2.69,3.29,2.41,,
September,1.14,0.89,1.63,3.87,1.58,1.09,1.59,0.99,2.20,2.84,,
October,3.34,2.05,2.10,5.01,0.93,1.40,4.68,3.75,2.10,4.08,,
November,2.49,1.54,1.81,2.43,1.59,2.82,2.72,2.26,1.73,1.19,,
December,3.75,4.10,1.92,1.83,1.90,0.60,2.65,2.42,2.00,4.21,,
Total,30.53,24.01,22.92,30.57,22.82,20.68,28.83,28.01,27.38,28.86,,
Calc annual,30.53,24.01,22.92,30.57,22.82,20.68,28.83,28.01,27.38,28.86,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
