NORTH BERWICK HOSPITAL then GASWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT538846,Long,-2.743331,Lat,56.052018,Elevation,118,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,0.74,2.06,1.07,2.38,1.25,2.85,0.79,1.84,2.1,1.4,1.3,1.15,0.79,4.01,2.48,2.29,3.73,1.45,2.3,2.99,1.67,1.12,4.4,1.43,1.97,5.47,1.53,0.99,3.17,1.04,0.63,1.97,1.59,2.13,2.29,0.85,,
February,,,,2.45,0.73,3.28,2.17,0.97,1.26,1.03,1.3,1.64,0.33,1.44,0.04,1.02,2.35,2.55,0.65,1.13,0.82,2.48,1.16,1,1.1,1.51,1.08,1.15,1.57,0.49,1.79,1.99,0.64,0.74,1.52,1.45,1.86,3.16,2.55,,
March,,,,0.48,0.57,2.06,0.99,1.57,1.39,0.32,1.84,1.13,2.73,0.77,3.22,1.22,1.54,2.97,0.39,1.74,2.62,3.05,0.88,1.41,0.33,0.79,2.43,4.2,0.45,1.21,2.11,2.56,1.33,0.22,1.23,1.24,0.8,1.91,,,
April,,,,2,0.81,2.1,1.35,0.59,0.49,1.82,1.05,1.38,1.07,1.89,2.94,3.05,1.13,0.99,0.05,0.95,1.84,1.01,1.31,0.81,1.95,1.39,0.17,1.84,1.35,1.12,1.61,2.45,1.25,1.87,1.53,0.85,0.44,1.43,,,
May,,,,1.35,4.42,3.29,2.28,1.57,1.21,1.74,0.83,3.02,2.19,1.06,1.5,0.93,1.6,2.88,3.2,0.68,1.57,2.14,1.3,3.42,1.5,4.11,2.22,3.92,1.38,1.72,1.58,2.52,1.96,1.9,3.38,1.91,0.52,1.44,,,
June,,,,0.81,1.74,0.66,2.64,1.94,3.78,1.69,1.49,3.98,1.03,1.58,2.05,2.32,1.31,1.95,3.27,1.62,0.45,1.15,0.92,1.66,3.11,1.87,2.47,2.55,2.48,1.39,2.53,1.61,2.24,1.24,2.77,0.93,2.2,0.87,,,
July,,,2.67,1.08,3.89,1.3,3.58,2.12,1.74,2.2,3.74,3.93,2.12,2.43,2.54,0.97,3.51,2.89,2.85,2.69,8.42,2.81,2.35,2.46,2.35,2.33,3.18,1.83,1.21,1.77,3.11,3.45,1.99,4.44,2.39,1.87,4.87,4.35,,,
August,,,1.53,4.09,2.37,2.25,1.85,5.72,3.78,4.27,4.84,4.15,0.28,0.77,2.71,3.02,1.91,2.66,3.12,1.45,0.89,2.82,2.07,3.32,2.99,2.78,2.98,0.16,7.68,2.2,2.77,3.98,2.07,2.42,4.59,0.57,6.17,4.2,,,
September,,,2.13,2.3,3.52,4.13,3.8,5.4,2.14,0.26,3.03,1.16,1.84,1.1,1.55,1.9,3.71,1.36,3.11,1.48,2.3,0.92,1.84,1.64,3.95,3.05,2.66,1.08,2.72,0.86,4.5,0.87,1.81,2.41,2.71,1.41,3.49,1.5,,,
October,,,2.34,1.3,3.67,1.25,3.52,2.83,2.67,2.19,1.91,1.69,5.25,2.11,2.21,3.69,1.33,2.12,4.15,2.54,2.96,2.97,1.92,1.96,2.05,3.5,0.68,1.08,2.5,5.04,2.09,0.24,1.58,1.09,5.67,1.39,1.32,1.21,,,
November,,,1,2.27,1.47,0.9,2.76,1.86,2.41,2.49,2.92,3.35,1.4,1.26,1.87,2.68,2.28,1.05,3.6,2.34,3.29,2.17,0.43,0.71,4.44,0.75,4.03,2.13,1.92,3.3,3.33,4.2,2.3,2.5,2.01,0.85,0.61,1.27,,,
December,,,1.61,2.78,1.59,2.6,0.34,2.8,1.75,2.29,1.26,0.46,2.32,1.46,3.07,1.51,1.55,3.71,2.29,0.76,1.37,0.5,0.75,0.9,1.52,1.88,1.88,1.93,1.44,2.9,1.69,1.3,2.01,2.69,1.75,3.55,1.69,2.29,,,
Total,,,,21.65,26.84,24.89,27.66,28.62,25.47,21.09,26.05,27.99,21.96,17.17,24.85,23.1,26.23,27.61,28.97,21.11,27.98,24.32,17.92,20.96,26.41,28.36,25.21,23.84,30.17,23.53,28.1,28.34,20.22,22.15,31.52,17.61,26.1,25.92,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moved in 1933 but only 30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
