DISS-ROYDON-HALL (OLD RECTORY),,,,,,,,,,,,,,,,,,,,
Grid ref,TM0995180519,Long,1.0834745,Lat,52.382439,Elevation,150,ft,,,,,,,,,,,,
Station no,1398/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,2.24,2.46,3.85,1.84,2.35,1.32,2.04,3.79,0.91,
February,,,,,,,,,,,1.88,1,0.93,1.44,1.76,1.74,1.47,0.97,0.95,
March,,,,,,,,,,,3.11,2.15,0.71,0.59,1.41,1.5,3.7,0.74,0.96,
April,,,,,,,,,,,1.12,0.48,0.83,1.55,1.91,0.94,1.36,1.99,1.64,
May,,,,,,,,,,,2.33,2.24,1.18,1.24,2.18,1.09,0.47,2.9,2.31,
June,,,,,,,,,,,0.88,0.93,1.8,1.78,1.84,3.33,1.77,3.31,0.83,
July,,,,,,,,,,,1.62,4.3,1.02,1.79,1.37,5.37,1.96,1.93,1.68,
August,,,,,,,,,,,4.13,1.64,2.3,1.53,2.97,4.6,0.19,3.26,1.39,
September,,,,,,,,,,,0.29,2.45,2.23,3.42,2.17,2.86,0.9,1.18,1.18,
October,,,,,,,,,,,2.43,4.11,1.58,3.53,1.87,1.07,0.32,1.68,3.77,
November,,,,,,,,,,5.38,2.55,2.92,2.7,4.25,1.19,3.1,1.26,1.54,,
December,,,,,,,,,,1.63,1.51,2.82,1.49,1.32,2.63,2.64,2.49,1.36,,
Total,,,,,,,,,,,24.09,27.5,20.62,24.28,23.65,29.56,17.93,24.65,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Nov until 1949 Nov Gauge moved to Rectory as Hall was bombed,,,,,,,,,,,,,,,,,,,,
