LINCOLN - BRAYFORD WHARF,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK972712,Long,-0.545,Lat,53.229,Elevation,28,ft,,,,,,,,,,,,,,,,,,
Station no,RR1743,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905
January,0.29,0.64,1.93,2.53,2.35,1.50,3.06,2.14,0.57,1.60,2.58,1.21,0.84,2.05,2.05,3.51,0.92,2.07,0.76,1.89,3.12,0.66,0.85,1.79,1.64,0.74
February,1.63,3.21,1.25,2.65,1.26,2.84,0.22,0.39,1.68,1.95,1.14,0.14,1.85,2.25,1.30,0.33,0.68,3.04,0.68,1.08,3.17,1.82,1.37,0.59,2.55,0.50
March,1.13,1.57,1.12,1.12,1.40,1.10,2.59,1.53,2.36,3.26,1.62,1.23,1.06,0.35,0.57,2.17,1.75,2.20,1.51,0.76,0.70,2.26,1.33,3.20,1.58,1.53
April,2.51,1.07,3.23,1.89,0.89,1.81,1.52,1.08,1.91,2.55,0.54,1.50,1.75,0.22,2.26,1.47,0.70,1.44,2.33,2.34,1.02,1.30,1.67,1.16,0.82,1.49
May,0.97,1.45,2.52,1.63,1.06,1.73,4.74,1.41,0.61,4.00,2.33,3.28,3.42,1.27,1.41,0.96,0.63,1.56,2.07,3.15,1.56,1.02,2.55,2.51,2.29,0.53
June,3.26,1.43,3.26,6.03,0.40,2.31,0.74,0.33,1.39,0.87,2.11,3.20,3.43,1.09,3.08,1.27,3.43,2.66,1.18,1.25,2.53,1.68,2.28,0.86,0.46,2.74
July,5.35,1.84,2.41,3.10,2.77,0.36,2.13,1.00,5.68,2.06,2.22,2.77,2.95,3.12,3.39,3.81,2.05,0.61,0.81,0.92,0.90,2.64,1.28,2.54,3.14,1.12
August,1.57,5.34,4.32,1.31,1.42,2.84,1.81,1.54,2.22,4.02,2.70,3.30,1.59,1.11,2.05,1.84,1.65,3.08,2.33,0.48,4.86,2.21,2.82,4.51,2.93,2.94
September,3.90,2.15,1.93,4.35,1.15,3.34,1.02,2.56,1.96,1.67,1.25,1.52,2.37,0.83,0.96,0.46,4.03,2.72,0.49,1.94,0.68,0.83,0.69,3.91,1.47,1.80
October,5.75,1.84,4.65,3.04,1.02,4.58,3.47,2.14,0.46,4.50,0.97,4.17,4.70,1.63,3.18,2.59,3.60,0.58,2.66,2.92,2.32,1.44,2.33,5.40,0.31,1.79
November,2.70,2.30,2.80,2.86,1.32,2.31,1.79,1.89,2.47,0.63,2.73,2.35,1.10,2.85,1.92,2.69,1.13,1.94,1.85,1.01,1.85,2.26,1.32,1.65,0.98,2.44
December,2.25,2.18,3.85,1.36,1.51,1.11,3.34,0.86,1.69,1.37,0.64,2.24,0.63,1.68,2.15,1.78,3.26,1.78,1.88,2.12,3.15,4.94,1.58,0.84,1.42,0.50
Total,31.31,25.02,33.27,31.87,16.55,25.83,26.43,16.87,23.00,28.48,20.83,26.91,25.69,18.45,24.32,22.88,23.83,23.68,18.55,19.86,25.86,23.06,20.07,28.96,19.59,18.12
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/043,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/171,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/113,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# Detailed location on Brayford Wharf not clear. Grid reference is central Brayford Wharf North.,,,,,,,,,,,,,,,,,,,,,,,,,,
