"LINCOLN BRAYFORD WHARF",,,,,,,,,,,,
Grid ref,SK971712,Long,-0.546880,Lat,53.228975,,,,,,,
Station no,RR1743,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.12,0.66,0.85,1.79,1.64,0.74,,,,,,
February,3.17,1.82,1.37,0.59,2.55,0.50,,,,,,
March,0.70,2.26,1.33,3.20,1.58,1.53,,,,,,
April,1.02,1.30,1.67,1.16,0.82,1.49,,,,,,
May,1.56,1.02,2.55,2.51,2.29,0.53,,,,,,
June,2.53,1.68,2.28,0.86,0.46,2.74,,,,,,
July,0.90,2.64,1.28,2.54,3.14,1.12,,,,,,
August,4.86,2.21,2.82,4.51,2.93,2.94,,,,,,
September,0.68,0.83,0.69,3.91,1.47,1.80,,,,,,
October,2.32,1.44,2.33,5.40,0.31,1.79,,,,,,
November,1.85,2.26,1.32,1.65,0.98,2.44,,,,,,
December,3.15,4.94,1.58,0.84,1.42,0.50,,,,,,
Total,25.86,23.06,20.07,28.96,19.59,18.12,,,,,,
Calc annual,25.86,23.06,20.07,28.96,19.59,18.12,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
