LOCH CRERAN (RUBHA GARBH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM933407,Long,-5.361077,Lat,56.512798,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5400/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.76,1.34,0.55,7.09,7.12,6.44,4.71,9.78,5.24,8.26,9.02,6.07,7.82,5.72,5,7.59,3.9,4.89,9.77,6.94,1.96,4.2
February,,,,,,,,,9.37,3.35,5.11,3.09,7.48,3.08,9.51,5.43,0.09,5.69,8.15,7.56,4.76,3.3,4.07,5.25,3.26,2.71,4.63,2.33,2.84,4.1
March,,,,,,,,,4.44,5.64,2.44,3.34,4.59,2,6.07,3.63,2.16,6.48,4.16,4.16,4.37,5.74,2.49,4.26,1.25,2.93,7.88,1.25,4.77,2.66
April,,,,,,,,,2.77,2.28,3.24,2.69,6.36,3.65,2.7,3.63,7.47,4.69,8.31,5.52,4.15,3.06,4.06,2.67,4.91,2.4,3,3.6,4.71,4.95
May,,,,,,,,,1.77,2.67,2.76,3.23,4.32,5.63,4.33,1.09,3.32,1.84,3.6,1.85,0.65,1.8,5.08,3.91,2.88,5.16,2.23,4.82,1.77,3.03
June,,,,,,,,,3.9,1.3,1.7,4.49,6.46,5.61,6.53,5.42,5.25,4.4,2.02,6.11,2.89,4.22,0.91,4.75,4.43,4.54,4.29,2.01,3.7,3.96
July,,,,,,,,,9.31,5.99,5.6,6.59,3.56,2.6,4.76,5.22,5.7,4,2.87,7.22,4.3,3.82,8.35,4.39,0.85,6.58,6.5,3.31,7.63,4.1
August,,,,,,,,,3.27,4.68,7.82,8.14,7.87,4.74,3.43,6.82,0.13,6.25,7.19,7.56,5.09,4.82,6.98,5.26,1.96,4.82,5.6,5.55,3.73,3.56
September,,,,,,,,,4.1,5.08,3.29,8.3,5.53,5.9,8.45,8.03,8.06,9.8,3.52,10.98,5.31,4.56,8.64,8.22,7.69,6.73,3.89,5.22,2.87,3.57
October,,,,,,,,,1.84,7.39,5.29,8.35,14.71,6.94,5.67,0.34,5.47,11.69,7.89,7.96,4,6.03,4.8,12.15,7,5.33,9.95,8.42,7.05,2.42
November,,,,,,,,,11.63,7.71,6.16,2.9,4.47,7.06,0.49,5.89,10.21,5.99,8.43,6.08,6.99,2.48,12.16,10.04,2.84,5.93,3.12,2.51,7.88,6.44
December,,,,,,,,,3.68,8.15,5.18,11.75,5.61,7.26,6.06,6.86,3.23,8.62,12.22,3.31,11.66,9.88,7.08,10.84,9.58,10.85,7.96,5.63,9.6,8.53
Total,,,,,,,,,59.84,55.58,49.14,69.96,78.08,60.91,62.71,62.14,56.33,77.71,77.38,74.38,61.99,55.43,69.62,79.33,50.55,62.87,68.82,51.59,58.51,51.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5400/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,688931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
