NEW-MALDEN-KINGSTON-VALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ212712,Long,-0.25696,Lat,51.42684,Elevation,47,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,160/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.32,3.78,,,,,,,1.6,1.49,3.48,1.2,0.92,3.33,1.88,0.93,1.14,2.43,3.63,1.57,1.94,2.4,1.63
February,,,,,,,,0.4,0.94,,,,,,,2.48,1.45,1.25,0.98,3.7,5.75,0.89,1.22,2.36,1.5,0.38,3.02,2.67,0.05,1.56
March,,,,,,,,0.29,1,,,,,,,1.26,4.97,0.73,0.95,0.72,3.12,2.93,0.45,2.33,1,0.79,0.93,1.09,2.06,1.57
April,,,,,,,,0.06,2.24,,,,,,,2.3,1.72,1.24,1.65,2.75,2.53,1.46,2.06,0.33,0.3,1.17,0.29,1.23,2.11,0.74
May,,,,,,,2.56,1.39,1.44,,,,,,,3.35,1.37,1.95,1.91,1.82,2.06,4.03,1.45,2.56,4.3,0.22,1.41,2.24,0.69,1.99
June,,,,,,,1.9,0.58,0.97,,,,,,,2.68,2,1.99,0.59,1.48,1.09,1.98,1.31,4.02,2.29,2.4,0.83,4.45,0.78,1.17
July,,,,,,,0.57,1.29,2.33,,,,,,,1.44,1.29,0.99,1.33,3.46,1.28,0.67,4.25,3.07,0.83,3.8,2.93,2.25,1.47,3.34
August,,,,,,,2.03,4.12,3.65,,,,,,,4.39,0.42,3.29,1.53,1.74,2.89,2.59,1.39,3.36,0.81,2.62,6.05,4,1.92,2.83
September,,,,,,,1.87,2.06,1.37,,,,,,,3.39,1.22,1.25,0.58,3.08,2.89,3.03,2.51,2.29,2.09,1.95,2.61,4.2,0.04,3.35
October,,,,,,,2.37,2.2,5.3,,,,,,,1.04,0.2,2.34,5.12,0.37,0.82,2.66,3.25,2.39,2.67,1.58,1.91,2.67,2.12,4.87
November,,,,,,,1.31,3.54,4.53,,,,,,,3.21,1.24,1.67,2.32,4.99,5.73,2.94,0.94,3.83,0.7,0.44,2.4,1.73,2.93,3.52
December,,,,,,,4.37,3.01,1.02,,,,,,,2.32,2.41,3.09,1.38,1.64,2.31,2.57,0.58,1.75,2.01,2.6,1.89,2.84,3.52,2.43
Total,,,,,,,,21.26,28.57,,,,,,,29.46,19.78,23.27,19.54,26.67,33.8,27.63,20.34,29.43,20.93,21.58,25.84,31.31,20.09,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough Council site at given distances and NGR puts this gauge at the Kingston Vale Allotments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec 6 Inspection Exposure very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 July Record temporarily discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Oct 27 Inspection Site overgrown with weeds No better site available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Kingston Vale SRC_ID 6597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
