WATERSHEDDLES RESERVOIR (NO. 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD968379,Long,-2.05011,Lat,53.837342,Elevation,1115,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3013/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.02,4.91,3.01,7.07,6.94,8.35,8.01,2.34,3.02,5.47,7.15,9.61,4.66,5.21,4.62,10.45,3.35,4,5,5.83,2.45,4.78,2.42,5.5,5.86,4.12,3.87,6.3
February,,,7.24,0.48,10.03,3.54,8.08,2.78,6.61,2.65,7.74,1.99,4.77,3.52,5.91,7.3,2.25,4.25,4.36,7.8,3.95,1.61,3.36,3.15,2.21,2.12,3.83,7.35,0.93,3.43
March,,,2.93,3.66,2.24,4.07,3.98,2.14,3.93,4.18,4.96,4.17,1.83,0.76,1.55,2.2,13.08,3.09,1.81,2.89,5.35,2.93,2.68,2.87,2.66,2.43,5.76,2.44,2.12,1.78
April,,,2.19,3.31,3.73,2.23,3.92,0.88,2.91,4.6,3.22,2.54,3.35,3.89,2.17,1.7,4.84,3.04,5.71,4.47,3.23,3.7,4.13,0.98,2.28,3.26,0.62,1.84,4.38,3.76
May,,,3.08,4.06,1.35,2.21,3.06,4.95,1.78,1.2,3.36,4.46,3.79,4.49,5.12,2.06,2.71,1.53,3.06,2.7,4.39,3.01,2.7,4.3,4.69,2.34,1.53,5.95,1.59,2.09
June,,,2.75,3.21,5.13,4.62,3.1,5.45,3.93,0.89,0.82,1.45,4.84,4.59,4.01,3,3.63,5.41,1.1,2.82,1.79,3.8,3.27,3.12,3.42,3.37,3.27,5.57,3.85,1.51
July,,,3.58,2.96,2.41,4.9,2.66,6.3,8.65,5.58,3.34,5.59,4.29,3.75,2.6,5.35,3.93,2.3,3.04,4.59,3.95,3.17,6.78,7.03,1.12,5.55,6.81,4.25,3.46,7.61
August,,,1.55,4.73,2.19,4.03,2.03,8.38,3.58,2.76,6.6,5.2,7.49,3.52,4.36,8.66,0.38,5.77,3.34,8.15,4.76,7.41,7.37,8.7,1.66,12.08,7.07,4.68,1.01,5.54
September,,,2.05,3.97,8.96,5.03,2.56,2.36,2.17,5.3,0.85,4.13,5.35,7.21,3,8.89,3.45,4.03,1.39,8.19,3.53,5.09,5.5,6.23,3.38,4.86,6.44,5.38,0.31,3.59
October,,,5.31,7.27,12.43,5.85,2.91,11.3,3.8,5.47,6.62,9.13,3.62,6.68,6.04,1.45,1.8,3.11,5.85,4.17,1.58,5.46,2.37,10.15,3.66,3.49,7.69,4.53,6.23,5.83
November,,,3.31,3.22,8.56,7.06,2.72,8.23,9.79,8.6,3.75,1.99,4.11,8.48,0.84,8.55,8.35,2.39,8.1,6.91,11.22,2.5,7.29,8.5,3.22,2.34,2.91,2.01,5.66,8.9
December,,,0.76,7.7,4.87,7.01,3.39,6.88,4.07,5.77,3.1,5.44,3.73,5.64,2.78,4.51,5.33,5.56,9.08,3.01,12.25,5.29,2.95,8.21,7.63,5.92,6.07,5.14,10.24,6.63
Total,,,38.77,49.48,64.91,57.62,45.35,68,59.23,49.34,47.38,51.56,54.32,62.14,43.04,58.88,54.37,50.93,50.19,59.7,61,49.8,50.85,68.02,38.35,53.26,57.86,53.26,43.65,56.97
