RAVENGLASS THE GROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD088965,Long,-3.404817,Lat,54.355842,Elevation,70,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.29,1.56,7.37,3.58,1.36,1.15,0.54,3,6.64,4.65,2.29,3.87,3.41,1.83,2.37,5.67,2.28,,,,,,1.74,3.56,4.49,5.78,2.07,2.59,3.67,4.69,1.8,4.81,1.39,3.87,2.37,3.35,1.77,3.97,4.93,3.93,4.99,2.83,2.36,4.57,4.84,5.12,6.26,4.44,3.49,4.81,2.77,5.28,4.39,8.57,2.09,6.87,4.92,5.13,4.19,4.68,2.43,4.7,4.82,4.11,4.99,2.19,1.7,4.27,6.7,4.71,3.93,5.07,4.41,7.96,3.06,2.33,4.16,2.94,2.74,2.99,1.95,3.42,3.47,4.5,2.06,5.55,,
February,,,,,,1.32,3.18,2.76,2.74,2.2,3.94,3.86,3.33,4.67,4.58,5.56,2.02,1.93,0.99,2.68,0.82,0.43,,,,,,2.53,2.49,2.57,5.28,2.08,2.07,3,3.22,2.47,3.6,2.35,2.17,2.96,5.59,3.49,2.5,1.75,5.08,7.17,3.59,1.35,4.78,0.85,2.41,0.19,4.05,7.93,1.11,5.44,3.61,3.28,4.29,1.74,0.34,3.42,0.01,5.77,0.22,4.41,2,5.32,1.57,4.64,1.6,3.35,1.88,2.84,1.77,3.45,3.59,0.87,2.47,2.39,4.77,4.65,1.14,1.49,4.3,1.52,0.55,3.59,5.32,1.45,5.14,,
March,,,,,,0.8,2.73,3.51,1.26,2.5,1.81,3.91,3.47,1.6,4.67,3.2,4.33,1.37,3.39,2.7,3.51,2.5,,,,,,4.37,1.1,2.51,0.79,2.56,3.44,4.3,3.44,3.37,1.93,3.77,4.03,3.21,2.83,1.2,5.46,4.2,4.79,2.24,1,2.72,1.52,4.1,5.84,4.43,1.77,1.47,1.34,0.84,1.5,3.75,4.13,1.16,2.12,1.1,3.79,3.53,2.64,1.23,3.15,3.18,1.97,3,4.67,2.66,3.85,0.97,0.4,2.86,1.78,5.99,2.97,2.84,4.1,4.35,2.45,0.39,2.93,2.29,1.37,3.12,1.68,2.82,1.29,,
April,,,,,,0.81,1.83,2.12,2.33,1.45,2.4,1.6,3.49,2.82,1.38,4.08,2.14,2.72,2.28,1.74,1.65,2.47,,,,,,2.27,3.58,3.58,2.61,2.67,1.55,2.1,2.75,4.36,1.62,3.45,1.94,3.57,2.42,3.88,1.03,4.4,1.12,2.57,2.88,1.93,1.06,3.24,4.7,1.62,1.76,4.82,2.39,3.4,2.26,2.21,1.45,2.08,2.56,3.02,3.15,1.84,2.68,2.76,0.7,2.9,0.25,2.25,1.52,2.34,1.78,2.38,2.73,2.36,2,4.39,2.19,3.31,3.33,1.16,3.19,2.52,0.86,2.94,0.91,1.3,1.45,3.16,4.31,,
May,,,,,,2.23,0.37,2.38,2.84,2.04,1.56,3.61,2.19,1.23,3.1,2.11,4.17,2.12,1.84,3.62,3.08,1.81,,,,,,1.94,2.71,3.46,3.29,1.27,2.91,3.13,2.54,2.18,6,4.23,3.43,2.93,2.4,3.47,1.9,4.61,2.12,1.35,3.3,3.01,1.91,1.9,3.99,2.6,3.41,2.68,5.14,6.9,2.55,2.42,0.82,2.24,1.65,3.1,4.79,2.7,4.09,0.91,0.95,1.8,4.3,0.44,1.5,3.5,3.33,3.59,1.92,3.82,1.62,4.97,1.38,2.81,1.62,1.73,2.62,2.54,3.42,2,2.47,2.9,4.03,1.13,2.53,,
June,,,,,,3.93,3.41,3.4,2.81,3.4,2.88,4.52,4.15,3.7,0.62,0.99,2.02,0.21,0.93,0.98,6.07,1.54,,,,,,3.96,3.26,1.73,3.63,2.09,1.46,2.66,1.05,2.56,2.28,7.16,2.42,2.71,2.24,2.72,5.74,2.58,1.16,1.09,4.04,2.72,2.09,1.8,3.69,0.42,2.88,1.25,3.29,0.61,2.01,2.82,4.39,2.66,2.22,6.66,1.97,2.02,1.95,3.77,5.03,2.34,4.91,3.78,0.7,0.87,0.92,3.01,2.79,3.76,3.54,2.41,5.33,0.65,2.94,1.05,3.13,1.1,3.81,4.11,3.1,2.55,4.7,3.06,1.59,,
July,,,,,,2.68,3.28,4.49,0.76,6.73,3.52,5.08,8.48,1.5,4.89,3.15,7.05,3.17,6.83,2.73,3.49,3.45,,,,,,1.82,1.03,3.58,2.14,1.49,3.81,3.89,2.27,1.98,3.16,2.62,5.37,6.23,4.23,1.1,4.02,1.15,6.22,5.03,3.37,1.29,5.76,0.92,4.55,3.61,5.52,4.52,5.37,1.72,3.92,6.32,5.13,5.24,3.45,5.85,6.11,3.04,1.04,2.05,4.29,3.18,6.16,5.86,4.29,2.35,3.64,3.25,3.25,2.9,3.96,3.46,2.2,4.12,4.38,3.14,2.63,5.23,5.46,3.35,5.1,4.02,3.83,2.68,5.65,,
August,,,,,,2.73,3.93,5.86,3.98,6,1.76,3.26,4.3,4.24,1.99,1.89,1.9,1.96,3.17,5.07,5.96,8.2,,,,,,6.56,6.82,1.8,7.43,6.66,3.39,3.89,4.35,4.78,5.89,4.93,4.65,3.2,5.76,3.26,6.21,1.97,3.03,3.99,1.91,6.3,4.52,3.73,3.15,6.24,4.87,6.85,3.34,4.48,4.45,4.36,7.04,5.16,7.27,3.02,2.03,3.17,4.58,2.63,3.5,3.03,3.51,1.43,1.68,3.99,5.04,7.9,3.49,1.18,4.41,0.22,3.94,3.83,6.28,6.16,4.59,4.56,5.07,3.1,9.21,3.62,3.89,0.52,3.88,,
September,,,,,,5.06,4.94,2.45,4.59,4.01,4.64,3.03,3.16,4.71,3.96,6.71,5.76,3.93,1.6,3.28,5.71,5.85,,,,,,3.41,3.11,4.97,3.09,2.41,1.87,6.28,2.47,2.75,1.37,0.65,5.6,2.76,0.97,3.95,2.07,1.73,2.64,1.43,3.3,4.8,8.62,4.01,4.76,1.54,2.5,6.33,5.35,3.09,4.68,7.96,3.87,1.98,2.87,2.17,4.91,1.11,5.91,8.36,4.44,3.28,3.16,2.31,4.62,2.38,4.03,5.16,4.12,4.68,6.78,3.51,5.7,2.6,8.59,5.61,3.05,5.64,6.12,3.1,3.06,7.2,4.56,1.77,4.39,,
October,,,,,,6.17,2.61,8.27,2.91,2.53,0.91,3,3.97,3.53,4.09,2.71,6.07,3.08,3.88,5.51,2.8,6.82,,,,,,2.57,3.57,2.65,5.44,6.34,3.66,8.91,2.41,3.95,4.55,7.69,2.25,7.84,1.92,3.19,5.05,3.73,1.29,1.67,7.2,7.26,4.67,2.61,2.57,1.9,2.53,8.61,3.94,6.01,3.82,3.36,6.87,6.86,7.87,3.4,8.7,3.13,5.64,6.72,3.22,2.96,8.48,1.97,4.82,5.71,4.35,7.2,5.01,5.28,0.87,0.65,4.04,5.14,3.26,0.91,4.77,2.5,7.53,2.66,3.99,4.76,4.54,5.81,1.93,,
