"STOURBRIDGE HAGLEY RECTORY",,,,,,,,,,,,
Grid ref,SO925811,Long,-2.111727,Lat,52.427830,,,,,,,
Station no,RR4439,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.99,0.78,1.15,,
February,,,,,,,,0.96,1.46,0.69,,
March,,,,,,,,1.07,3.23,2.54,,
April,,,,,,,,2.08,2.37,2.23,,
May,,,,,,,,3.29,2.78,1.41,,
June,,,,,,,,3.13,2.15,4.57,,
July,,,,,,,,2.03,2.38,3.55,,
August,,,,,,,,3.22,2.03,1.85,,
September,,,,,,,,0.78,2.40,3.42,,
October,,,,,,,,6.18,1.63,3.09,,
November,,,,,,,,2.42,1.96,0.87,,
December,,,,,,,,3.02,1.76,4.20,,
Total,,,,,,25.17,27.21,29.17,24.93,29.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.17,24.93,29.57,,
Difference,NaN,NaN,NaN,NaN,NaN,25.17,27.21,0.00,-0.00,-0.00,,
