STOURBRIDGE HAGLEY RECTORY - second gauge,,,,,,,,,,
Grid ref,SO926813,Long,-2.1102608,Lat,52.42963,Elevation,636,ft,,
Station no,RR4439,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.28,0.83,,,,,,,,
February,3.74,1.42,,,,,,,,
March,0.7,1.87,,,,,,,,
April,2.22,0.99,,,,,,,,
May,1.93,0.62,,,,,,,,
June,1.66,1.81,,,,,,,,
July,2.4,0.3,,,,,,,,
August,5.83,2.7,,,,,,,,
September,1.06,1.62,,,,,,,,
October,2.56,,,,,,,,,
November,3.78,,,,,,,,,
December,4.52,,,,,,,,,
Total,32.68,,,,,,,,,
,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-131.csv,,,,,,,,,,
Elevation on record too high for The Rectory.,,,,,,,,,,
,,,,,,,,,,
