STOURBRIDGE HAGLEY RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO926813,Long,-2.1102608,Lat,52.42963,Elevation,636,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.42,4.26,2.02,1.82,4.68,2.84,2.43,3.1,2.09,3.65,2.51,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.78,1.15,2.27,0.78,,,,,,,,
February,,,,,,,,,2.2,2.4,2.39,1.72,3.68,0.59,3.34,1.51,2.97,1.74,1.31,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1.46,0.69,3.71,1.4,,,,,,,,
March,,,,,,,,,2.11,1.7,1.67,1.05,2.36,2.98,1.16,0.97,2.46,2.84,1.39,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,3.23,2.54,0.68,1.92,,,,,,,,
April,,,,,,,,,1.98,1.54,1.26,2.6,3.12,1.13,1.84,0.79,2.68,2.19,2.6,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,2.37,2.23,2.22,0.96,,,,,,,,
May,,,,,,,,,2.02,5.19,1.29,1.63,1.94,3.04,2.3,2.22,1.23,2.42,6.58,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,2.78,1.41,1.96,0.61,,,,,,,,
June,,,,,,,,,0.47,1.18,1.49,4.11,5.4,3.81,1.92,3.23,2.01,1.17,2.31,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,2.15,4.57,1.66,1.8,,,,,,,,
July,,,,,,,,,0.53,1.26,1.64,4.32,5.22,3.01,1.59,6.51,1.6,5.26,0.13,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,2.38,3.55,2.42,0.29,,,,,,,,
August,,,,,,,,,5.13,1.34,2.07,0.84,3.84,3.23,2.63,2.45,2.38,5,8.08,14.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,2.03,1.85,5.84,2.76,,,,,,,,
September,,,,,,,,,2.9,6.95,1.03,6.22,2.26,1.63,3.54,3.29,4.37,2.75,3.04,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,2.4,3.42,0.98,1.65,,,,,,,,
October,,,,,,,,,1.99,2.07,5.03,2.67,5.7,2.01,2.59,5.91,1.69,1.59,3.09,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,1.63,3.09,2.58,,,,,,,,,
November,,,,,,,,,1.76,2.55,2.1,0.66,4.52,1.7,3.32,3.7,3.87,3.31,4,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,1.96,0.87,3.98,,,,,,,,,
December,,,,,,,,,5.94,3.73,1.9,1.83,4.05,0.71,3.13,1.64,5.93,1.85,2.06,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,1.76,4.2,4.95,,,,,,,,,
Total,,,,,,,,,29.45,34.17,23.89,29.47,46.77,26.68,29.79,35.32,33.28,33.77,37.1,54.26,,,,,,,,,,,,,,,,,,,,,,,,,,25.17,27.21,29.17,24.93,29.57,33.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hon Rev William Lyttelton, observer 1870s, had moved to College Garden, St Mary's Gloucester, where he was MA Canon of Gloucester and Rector of Hagley, by 1881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR acceptable for distance/direction from St John the Baptist church, and elevation as well as being a Rectory on OS 1888 6"" map.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Historic England has The Rectory on Hall Drive at SO917807 but this is too low, too close to the church and in the wrong direction. Others call this the Old Rectory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 onwards observations acceptable NGR for distance/direction from church but elevation of 750' and 700' on record too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TYRain_1910-1919_15_pt1-page-130.csv used for 1910 and 1911 records - two 1920s records, different rainfall, same information regarding other parameters hence no distinction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-131.csv - used to compile second csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
