HALESWORTH-HIGHFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,TM385767,Long,1.4994468,Lat,52.336494,Elevation,90,ft,,,,,,,,,,,,
Station no,1368/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,0.83,1.63,2.48,3.71,4.5,2.27,5.44,2.53,2.91,2.2,4.24,,,,,,,
February,,,1.92,0.5,2.66,2.89,3.44,0.65,1.06,1.41,2.14,0.96,0.95,,,,,,,
March,,,1.6,2.22,1.03,0.66,3.31,0.59,2.4,3.16,3.15,2.5,0.52,,,,,,,
April,,,0.91,2.04,2.67,1.37,2.41,0.72,2.85,1.41,1.47,0.58,0.94,,,,,,,
May,,,1.94,2.06,1.38,0.79,3.01,2.24,0.94,0.21,2.51,2.22,1.22,,,,,,,
June,,,2,1.02,2.62,3.31,0.93,0.74,1.47,0.54,0.67,0.52,1.83,,,,,,,
July,,,1.14,1.15,0.86,4.03,1.42,1.24,2.35,4,1.65,2.81,,,,,,,,
August,,,0.88,2.21,2.12,1.1,2.1,0.5,3.46,0.55,4.19,1.4,,,,,,,,
September,,,3.93,1.4,3.93,3.33,3.07,2.36,1.12,1.29,0.33,1.88,,,,,,,,
October,,,3.11,1.7,2.89,2.79,2,2.93,8.53,2.48,2.69,4.09,,,,,,,,
November,,,2.53,2.02,4.07,3.41,1.75,2.77,4.7,6.64,2.63,3.81,,,,,,,,
December,,,0.86,3.73,2.5,1.55,4.18,3.53,1.78,2.12,1.42,2.58,,,,,,,,
Total,,,21.65,21.68,29.21,28.94,32.12,20.54,36.1,26.34,25.76,25.55,,,,,,,,
