HADLEY-HADLEY-BOURNE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ248974,Long,-0.19705614,Lat,51.661534,Elevation,428,ft,,,,,,,,,,,,,
Station no,RR6489,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.08,3.06,0.87,4.08,2.04,,2.99,5.27,2.96,2.76,3.65,1.5,2.99,2.15,3.45,2.02,4,,
February,,1.96,2.12,1.04,3.12,3.99,3.96,,1.31,3.57,0.56,0.17,2.61,3.81,0.77,3.36,2.99,4.16,1.77,,
March,,2.1,3.78,2.49,4.83,1.49,4.58,,0.93,3.5,1.48,1.53,2.07,2.45,1.31,0.84,0.48,2.85,2.1,,
April,,1.9,0.09,3.45,0.88,1.11,1.35,,4.18,2.94,4.23,1.6,3.02,1.72,4.22,1.86,3.68,1.94,1.18,,
May,,2.53,1.4,1.78,2.19,2.89,2.12,,2.46,0.37,0.76,1.3,0.93,2.28,4,2.63,2.81,1.27,1.84,,
June,,2.62,2.26,0.58,1.54,1.36,3.19,,1.02,1.51,1.65,0.21,1.54,0.64,3.02,0.19,3.66,3.43,3,,
July,,1.34,2.48,2.12,1.82,6.18,1.19,,3.23,1.92,5.31,0.3,3.77,3.42,4.91,4.21,2.93,2.6,1.89,,
August,,0.58,5.52,0.96,1.39,3.48,5.13,,1.37,2.77,1.48,1.76,2.59,2.68,2.63,2.46,1.05,4.34,2.19,,
September,,1.66,2.25,1.33,1.36,2.22,1.47,,5.52,1.43,3.07,2.52,2.35,1.77,3.64,3.78,1.62,5.95,,,
October,,3.84,3.05,3.25,1.63,2.41,3.85,,1.74,0.89,1.82,0.81,0.93,5.25,3.86,3.74,3.1,2.76,,,
November,,4.01,2.23,2.82,3.1,2.46,4.6,,2.47,2.15,1.61,2.02,1.77,1.89,2.56,2.07,5.3,2.9,,,
December,,5.57,3.25,0.92,7.6,5.95,3.17,,2.88,4.38,3.05,1.54,3.15,2.58,3.4,2.39,0.4,3.99,,,
Total,,,32.51,23.8,30.33,37.62,36.65,,30.1,30.7,27.98,16.52,28.38,29.99,37.31,29.68,31.47,38.21,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1911 Jan estimated,,,,,,,,,,,,,,,,,,,,,
