"LAUNCESTON HEXWORTHY",,,,,,,,,,,,
Grid ref,SX360810,Long,-4.319018,Lat,50.605610,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.10,2.19,3.16,,
February,,,,,,,,1.74,2.59,0.62,,
March,,,,,,,,0.73,5.99,5.22,,
April,,,,,,,,4.33,2.56,2.34,,
May,,,,,,,,3.40,1.54,1.45,,
June,,,,,,,,2.48,0.54,3.61,,
July,,,,,,,,1.54,2.43,1.88,,
August,,,,,,,,1.44,3.81,1.68,,
September,,,,,,,,0.95,3.24,0.81,,
October,,,,,,,,7.40,1.28,10.48,,
November,,,,,,,,3.29,1.83,1.74,,
December,,,,,,,,5.48,4.63,8.00,,
Total,,,,,,,,34.88,32.63,40.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.88,32.63,40.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
