LAUNCESTON HEXWORTHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX360810,Long,-4.319018,Lat,50.60561,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,8.62,6.94,8.3,9.05,4.92,4.19,11.39,10,6.52,9.91,1.23,9.92,2.9,5.72,0.75,2.07,3.01,5.35,6.44,3.59,6.29,4.28,2.01,,,,,,,,,,,,,,,,,,,2.1,2.19,
February,,,,,,,5.42,4.19,3.16,5.32,6.76,3.1,8.96,3.39,4.06,1.33,4.8,3.39,2.74,6.5,5.85,4.64,3.86,7.67,5.34,5.49,1.37,1.08,,,,,,,,,,,,,,,,,,,,1.74,2.59,
March,,,,,,,5.54,4.64,4.14,3.61,2.89,2.52,5.79,4.99,1.67,2.03,4.64,3.29,2.33,1.31,2.48,4.35,1.95,1.7,4.28,2.3,4.01,1.55,,,,,,,,,,,,,,,,,,,,0.73,5.99,
April,,,,,,,2.11,4.64,3.85,1.67,0.2,4.88,3.68,0.59,2.94,1.94,4.74,4.83,2.21,3.08,3.03,1.12,6.3,1.35,2.27,3.77,2.6,1.48,,,,,,,,,,,,,,,,,,,,4.33,2.56,
May,,,,,,,1.67,3.54,2.92,4.42,2.96,0.27,1.31,2.04,0.84,3.42,0.12,4.81,5.44,2.07,1.15,1.49,1.4,2.29,1.87,2.99,3.39,2.07,,,,,,,,,,,,,,,,,,,,3.4,1.54,
June,,,,,,,1.38,1.62,0.75,0.23,0.29,2.45,4.24,1.88,1.77,3.53,1.59,2.06,3.46,7.99,3.27,4.04,4.37,4.61,1.11,2.65,0.86,0.08,,,,,,,,,,,,,,,,,,,,2.48,0.54,
July,,,,,,,1.5,,1.31,0.19,1.4,5.05,3.81,4.58,1.36,4.15,0.88,4.83,2.11,3.61,4.61,2.8,5.36,4.91,3.93,0.62,2.7,1.16,,,,,,,,,,,,,,,,,,,,1.54,2.43,
August,,,,,,,5.61,1.18,,7.6,4.22,3.89,2.14,6.55,4.28,2.13,4.02,5.94,6.16,5.66,3.24,4.15,3.21,1.34,1.34,2.8,2.57,1.51,,,,,,,,,,,,,,,,,,,,1.44,3.81,
September,,,,,,0,9.87,2.07,,,2.21,7.35,4.7,2.48,6.91,5.14,5.7,3.12,3.21,3.88,4.2,1.74,4.05,6.47,2.75,6.68,4.14,4.73,,,,,,,,,,,,,,,,,,,,0.95,3.24,
October,,,,,,7.83,2.18,6.68,,3.61,8.51,6.96,8.45,3.77,6.82,6.76,5.42,4.08,5.76,2.51,6.73,3.68,5.71,4.48,2.7,7.12,7.59,5.48,,,,,,,,,,,,,,,,,,,,7.4,1.28,
November,,,,,,7.71,3.25,1.79,,3.83,4.57,1.35,8.11,5.62,3.57,6.97,4.54,9.69,4.69,0.21,2.83,6.73,7.31,6.48,3.31,5.02,5.42,4.95,,,,,,,,,,,,,,,,,,,,3.29,1.83,
December,,,,,,6.54,5.22,2.68,,6.69,2.68,5.32,11.55,1.26,6.51,2.52,11.83,3.52,4.27,2.15,5.83,5.84,7.56,1.44,5.95,2.34,7.75,4.79,,,,,,,,,,,,,,,,,,,,5.48,4.63,
Total,,,,,,,52.37,39.97,,46.22,41.61,47.33,74.13,47.15,47.25,49.83,49.51,59.48,45.28,44.69,43.97,42.65,54.09,48.09,41.29,45.37,48.69,33.16,,,,,,,,,,,,,,,,,,,,34.88,32.63,
