LAUNCESTON HEXWORTHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX360810,Long,-4.319018,Lat,50.60561,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6.02,1.43,4.86,7.82,1.47,4.82,2.16,1.93,5.76,6.88,8.38,4.21,5.51,3.03,5.99,5.12,7.52,7.65,7.41,2.35,7.77,5.01,6.37,3.71,4.89,1.28,6.4,9,7.2,7.35,2.56,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,6.44,2.13,4,2.21,6.05,9.78,7.39,1.41,2.95,3.8,0.89,0.38,4.93,11.93,2.1,7.79,3.23,4.26,3.96,1.6,2.06,3.26,0.03,3.77,0.14,4.83,4.28,7.6,1.58,2.75,5.29,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.21,2.39,6.43,5,7.85,0.61,2.47,3.33,1.99,5.81,4.21,3.66,4.45,1.91,2.52,1.14,0.77,5.03,5.56,0.48,2.86,2.16,2.19,4.34,3.34,1.43,4.39,6.5,0.26,1.69,3.24,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.7,2.3,0.22,6.44,1.92,1.19,1.09,2.52,2.52,2.93,4.88,0.85,5.28,3.2,4.27,3.19,2.12,2.25,2.38,0.79,2.74,2.71,2.82,1.76,3.38,5.59,2.2,2.91,0.1,3.39,2.41,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.71,2.75,2,3.53,1.39,2.81,1.5,2.18,0.83,1.83,2.23,2.27,1.29,2.82,3.84,4.82,1.2,0.66,1.42,3.75,1.56,4.98,3.77,2.1,1.91,1.59,0.72,3.52,2.99,0.88,1.76,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.69,4.15,5.09,1.36,2.18,1.92,2.26,4.43,1.74,0.86,2.26,0.06,1.12,0.6,2.25,0.02,2.95,2.85,1.87,2.75,0.95,3.39,2.84,2.9,1.84,3.53,2.02,0.97,1.82,2.05,0.94,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.9,0.78,2.73,0.2,6.16,4.65,0.94,1.67,4.44,1.08,4.87,1.38,4.14,1.15,4.5,4.06,2.22,5.47,2.01,1.92,2.76,5.54,3.01,2.83,0.78,0.25,7.72,1.43,4.49,8.09,4.83,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,5.09,2.32,9.87,1.67,2.78,2.18,3.28,6.53,3.79,3.42,2.33,2.7,3.18,3.35,3.91,4.14,1.83,3.74,2.3,3.24,4.82,6.71,1.72,1.64,5.49,2.07,0.2,1.09,6.86,3.62,0.22,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.16,2.5,1.27,2.71,3.27,1.68,1.85,1.46,6.77,2.05,2.52,1.41,3.01,4.19,4.43,4.76,0.85,6.97,1.73,0.53,4.78,3.4,5.36,2.48,3.42,4.59,3.16,3.92,1.39,1.69,1.93,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.85,4.53,5.14,5.63,3.2,4.58,7.28,7.31,2.9,1.71,6.5,1.5,1.72,7.56,6.62,5.53,3.16,3.09,7.47,8.74,6.61,1.13,10.09,5.57,3.61,6.68,1.5,3.29,5.65,2.59,4.01,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
