HATHERLEIGH-ASH,,,,,,,,,,,,,,,,,,,,
Grid ref,SS576062,Long,-4.02372,Lat,50.83835,Elevation,332,ft,,,,,,,,,,,,
Station no,RR6400,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.75,5.22,2.2,2.5,1.84,5.05,4.02,2.62,2.76,,,,,,
February,,,,,,4.37,0.88,0.7,0.7,3.35,0.97,0.07,2.91,4.84,,,,,,
March,,,,,,1.51,2.92,1.11,5.36,3.16,1.53,2.98,0.93,0.67,,,,,,
April,,,,,,1.35,2.51,1.36,1.61,2.01,4.07,2.02,1.79,0.57,,,,,,
May,,,,,,4.31,2.17,0.64,1.29,2.89,3.14,2.71,1.4,2.45,,,,,,
June,,,,,,1.89,1.05,0.47,3,0.32,2.34,2.22,1.33,0.6,,,,,,
July,,,,,,0.55,1.74,2.05,5.39,3.96,3.38,4.07,1.49,5.28,,,,,,
August,,,,,,1.31,2.27,1.33,3.09,4.34,3.75,7.41,3.39,1.61,,,,,,
September,,,,,,6.81,3.71,3.66,1.32,1.48,1.64,3.11,3.79,2.29,,,,,,
October,,,,,,7.39,7.48,4.06,2.33,4.65,3.22,6.55,6.41,4.5,,,,,,
November,,,,,,4.03,3.56,3.61,6.56,2.3,4.88,2.99,2.94,2.94,,,,,,
December,,,,,,1.93,4.24,1.83,3.62,2.8,3.24,4.99,3.08,5.28,,,,,,
Total,,,,,,38.2,37.75,23.02,36.77,33.1,37.21,43.14,32.08,33.79,,,,,,
