"FEATHERBED TOP NO.77",,,,,,,,,,,,
Grid ref,SK089928,Long,-1.867512,Lat,53.431912,,,,,,,
Station no,2699/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.23,6.12,3.17,6.57,3.56,8.15,4.23,6.48,6.72,8.03,,
February,7.14,4.93,3.37,4.65,3.78,2.91,5.36,9.11,0.89,4.82,,
March,7.68,3.84,3.88,3.95,4.93,2.28,5.04,3.62,3.32,1.24,,
April,3.32,4.66,3.82,1.42,3.09,2.97,1.52,2.26,4.66,2.87,,
May,2.04,2.83,2.62,4.73,6.14,1.78,2.12,5.62,0.62,2.29,,
June,1.88,3.67,4.27,4.32,4.83,6.16,1.97,6.78,3.04,1.78,,
July,4.09,3.96,8.17,9.86,1.23,8.76,7.02,8.16,5.63,9.45,,
August,6.92,4.08,6.64,9.25,0.88,13.68,8.46,4.68,0.86,7.03,,
September,3.47,5.98,3.64,6.34,3.26,5.73,10.82,8.11,0.31,5.19,,
October,1.33,6.14,2.68,10.37,4.33,3.89,6.77,6.44,5.84,8.06,,
November,10.24,4.86,4.83,9.47,3.59,2.61,3.42,2.82,7.43,8.94,,
December,7.09,6.34,3.34,11.74,6.52,7.96,8.57,6.07,9.42,5.93,,
Total,64.43,57.41,50.43,82.67,46.14,66.88,65.30,70.15,48.74,65.63,,
Calc annual,64.43,57.41,50.43,82.67,46.14,66.88,65.30,70.15,48.74,65.63,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
