FEATHERBED-TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK089928,Long,-1.8675121,Lat,53.431912,Elevation,1665,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2699/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.36,4.67,6.23,6.92,6.83,8.74,,5.02,,7.34,,,7.96,3.85,10.33,4.22,4.71,9.23,6.12,3.17,6.57,3.56,8.15,4.23,6.48,6.72,8.03
February,,,,0.56,8.43,3.98,10,2.69,5.43,4.8,9.09,,3.72,,,-999,3.23,4.78,3.09,6.72,7.14,4.93,3.37,4.65,3.78,2.91,5.36,9.11,0.89,4.82
March,,,,7.45,2.91,6.34,5.44,3.02,4.42,5.07,6.87,,1.73,,1.97,-999,9,2.04,3.11,2.98,7.68,3.84,3.88,3.95,4.93,2.28,5.04,3.62,3.32,1.24
April,,,,3.55,4.36,2.46,4.47,1.09,3.49,4.11,3.08,2.11,2.76,3.62,2.97,2.13,4.41,3.73,5.78,4.66,3.32,4.66,3.82,1.42,3.09,2.97,1.52,2.26,4.66,2.87
May,,,,4.05,0.7,1.42,2.96,4.21,3.73,1.14,3.17,3.94,3.31,5.71,3.67,1.97,4.93,2.83,3.62,1.92,2.04,2.83,2.62,4.73,6.14,1.78,2.12,5.62,0.62,2.29
June,,,,3.19,4.53,3.52,2.33,5.97,3.84,1.29,2.79,1.11,4.57,3.85,4.46,5.83,3.31,,1.34,3.39,1.88,3.67,4.27,4.32,4.83,6.16,1.97,6.78,3.04,1.78
July,,,,5.1,2.77,7.16,5.18,7.58,9.36,6.44,3.83,6.95,2.69,4.96,2.42,6.87,3.51,,2.81,4.35,4.09,3.96,8.17,9.86,1.23,8.76,7.02,8.16,5.63,9.45
August,,,,5,2.33,3.22,1.42,3.63,2.94,3.03,7.33,4.57,6.63,4.45,3.43,5.17,0.39,5.74,3.44,4.93,6.92,4.08,6.64,,0.88,13.68,8.46,4.68,0.86,7.03
September,,,,3.9,7.13,7.81,2.15,3.92,2.09,4.32,0.77,3.58,4.83,8.09,3.62,8.59,2.35,3.79,2.07,8.05,3.47,5.98,3.64,6.34,3.26,5.73,10.82,8.11,0.31,5.19
October,,,,9.52,11.24,6.79,3.11,9.76,4.63,5.79,6.32,8.27,3.52,7.49,8.09,1.78,1.59,4.19,4.34,2.84,1.33,6.14,2.68,10.37,4.33,3.89,6.77,6.44,5.84,8.06
November,,,,3.72,7.25,8.65,2.58,6.22,9.13,9.73,5.09,1.72,4.68,9.57,0.91,9.26,6.22,2.87,7.76,8.24,10.24,,4.83,9.47,3.59,2.61,3.42,2.82,7.43,8.94
December,,,,8.32,6.15,6.44,4.47,7.8,4.83,7.56,3.92,4.41,2.68,5.41,4.03,5.62,5.73,4.17,9.21,,7.09,,3.34,11.74,6.52,7.96,8.57,6.07,9.42,5.93
Total,,,,58.72,62.47,64.02,51.03,62.72,62.63,,57.28,,48.46,,,67.38,48.52,,50.79,,64.43,,50.43,,46.14,66.88,65.3,70.15,48.74,65.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3253 FEATHERBED TOP Start 1934 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is close to Featherbed Top. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
