HEREFORD HOLMER HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO504421,Long,-2.725107,Lat,52.075029,Elevation,241,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,2.08,0.94,3.22,1.1,0.54,0.76,2.19,0.94,3.68,3.57,0.59,2.37,0.74,1.08,2.04,2.43,3.53,2.25,3.27,1.07,3.57,2.16,3.35,2.95,3.34,1.03,5.11,1.14,2.59,1.64,2.3,0.65,4.04,3.36,2.32,5.74,3.45,3.89,2.77,5.68,2.01,1.52,,,,,,,
February,,,,,3.7,0.51,1.33,0.8,0.63,0.44,3.13,0.93,1.42,1.06,2,3.98,3.89,1.04,0.77,2.64,0.76,0.2,2.73,5.78,0.39,3.79,1.58,2.51,1.96,0.89,0.73,1.63,0.17,3.57,0.31,1.75,2.36,3.91,0.35,0.96,2.79,2.7,0.51,1.27,0.72,1.49,,,,,,,
March,,,,,1.14,2.91,0.83,0.5,2.87,2.15,0.52,1.56,3.62,4.5,1.89,0.57,3.93,3.08,1.38,4.28,2.9,2.13,2.22,1.22,1.32,0.65,0.42,2.68,3.03,0.17,2.59,0.43,1.54,1.97,1.71,0.48,2.46,2.8,0.17,1.25,1.15,2.32,2.14,1.04,0.26,0.58,,,,,,,
April,,,,,0.9,2.4,1.01,2.29,2.81,1.79,1.97,0.79,0.25,3.41,1.13,0.89,0.76,1.88,1.94,1.27,3.84,0.72,2.01,2.39,1.99,1.47,2.25,1.08,1.3,0.76,3.67,3.34,2.26,1.05,2.4,3.85,2.14,1.62,0.12,2,2.69,1.02,1.3,0.75,1.2,0.85,,,,,,,
May,,,,4.47,1.76,0.47,1.92,2.81,1.52,0.89,1.88,1.2,2.24,1.92,1.45,3.07,2.81,3.39,1.76,0.37,2.39,1.11,0.75,1.3,4.91,3.36,2.59,1.1,0.94,1.95,2.63,3.66,5.43,1.45,1.19,0.49,0.82,2.92,1.88,0.67,1.92,2.18,3.15,2.78,0.44,2.51,,,,,,,
June,,,,2.66,0.64,2.97,2.47,2.22,1.11,1.85,4.28,1.8,3.79,0.61,2.33,1.27,0.95,2.25,0.54,0.78,2.45,0.33,0.76,0.41,2.37,0,1.32,3.91,2.98,2.48,0.35,3.45,0.96,2.06,0.81,4.15,3.48,0.81,1.31,1.37,0.65,2.35,0.23,2.34,1.46,3.12,,,,,,,
July,,,,1.81,2.67,0.82,0.45,3.52,1.53,2.55,1.61,0.37,3.14,0.75,3.92,4.16,1.53,1.9,2.26,1.91,3.47,0.7,3.31,2.75,4.22,1.99,2.39,3.67,1.65,1.73,1.72,3.64,2.04,1.25,1.92,0.3,5.04,2.84,2.72,4.28,2.36,1.91,1.1,1.01,1.78,2.79,,,,,,,
August,,,,4.18,1.28,3.92,1.11,1.6,2.47,1.38,4.26,2.89,6.72,1.18,1.2,2.36,1.93,5.43,1.96,2.39,0.85,2.68,2.2,1.3,2.27,3.23,2.11,4.17,2.04,1.37,2.92,4.58,2.48,0.52,2.45,0.96,0.24,2.77,3.91,1.62,0.23,3.14,3.45,2.59,2.8,3.87,,,,,,,
September,,,,2.58,1.87,0.97,0.59,0.53,1.95,2.8,0.65,1.34,0.77,3.09,1,0.98,0.76,2.12,7.02,1.39,1.96,1.13,1.71,1.66,4.73,3.58,0.93,4.41,0.97,1.29,4.86,1.73,3.26,1.67,1.46,2.98,2.37,1.49,1.95,0.83,1.68,0.98,1.28,2.25,2.07,1.66,,,,,,,
October,,,,5.49,0.67,1.69,4.29,7.5,2.13,2.37,3.38,1.7,2.94,3.83,2.05,4.1,3.86,2.37,0.91,1.88,3,1.33,0.34,4.54,3.5,3.12,2.48,2.29,4.24,4.58,3.06,0.53,4.17,4.12,1.11,2.9,1.5,3.63,2.5,2.71,3.39,2.08,1.85,2.32,3.83,3.38,,,,,,,
November,,,,1.14,1.26,2.22,1.64,1.96,1.26,0.92,3.34,2.61,1.34,2.27,2.59,2.01,2.51,1.02,1.59,1.11,0.79,2.14,1.03,1.51,2.48,1.44,6.05,2.71,2.35,7.54,2.89,4.81,1.53,0.61,1.35,4.87,2.83,1.27,3.05,4.5,6.32,2.5,0.67,1.7,3.71,0.48,,,,,,,
December,,,,1.68,1.86,0.38,1.42,2.22,2.12,4.08,5.11,6.43,2.87,0.82,5.21,4.62,2.01,1.41,2.14,2.74,2.37,1.18,3.42,1.92,3.31,2.65,0.59,2.65,2.72,6.4,3.59,0.87,1.52,0.57,4.79,3.03,2.87,2.13,3.5,1.38,1.32,1.29,3.71,1.6,1.87,4.03,,,,,,,
Total,,,,,19.83,20.2,20.28,27.05,20.94,21.98,32.32,22.56,32.78,27.01,25.36,30.38,25.68,26.97,24.31,23.19,28.31,15.9,23.75,25.85,35.06,27.44,26.06,34.13,27.52,30.19,34.12,29.81,27.95,20.48,21.8,26.41,30.15,29.55,23.78,27.31,27.95,26.36,22.16,25.33,22.15,26.28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 INCORRECT TOTAL ON RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
