"BALLYCLARE (LITTLE ARDYMAGH) KILLYLANE RESERVOIR FROM 1957",,,,,,,,,,,,
Grid ref,IJ279986,Long,-6.010756,Lat,54.819063,,,,,,,
Station no,6233/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.69,5.10,3.39,6.93,4.98,4.93,3.42,4.92,,
February,,,2.01,5.07,5.25,1.78,4.14,5.74,1.91,5.51,,
March,,,0.76,4.54,1.59,1.74,3.71,3.51,3.37,3.44,,
April,,,3.23,1.39,3.81,2.05,2.20,3.37,3.03,4.06,,
May,,,2.84,3.79,2.59,1.86,2.54,3.62,1.61,2.28,,
June,,,2.30,4.61,4.87,3.81,3.94,5.57,2.95,2.47,,
July,,2.35,5.93,5.76,1.63,5.70,5.57,6.17,5.46,8.12,,
August,,8.06,4.34,3.74,1.23,8.67,4.62,4.44,2.37,5.99,,
September,,3.45,4.04,4.39,5.66,3.61,6.87,5.28,2.15,2.73,,
October,,6.25,1.26,7.10,3.93,2.31,4.34,3.59,3.79,7.87,,
November,,4.98,3.05,6.94,3.17,2.33,3.33,2.49,6.85,5.45,,
December,,6.64,4.08,6.18,6.30,5.97,5.52,6.97,8.81,4.03,,
Total,,-999.00,35.53,58.61,43.42,46.76,51.76,55.68,45.72,56.87,,
Calc annual,0.00,31.73,35.53,58.61,43.42,46.76,51.76,55.68,45.72,56.87,,
Difference,NaN,-1030.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
