COLWALL (BOY'S SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,SO750417,Long,-2.3661606,Lat,52.073095,Elevation,410,ft,,,,,,,,,,,,
Station no,2259/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.74,,,2.93,5.91,3.71,,3.07,6,2.39,,,,,,
February,,,,,2.3,,,0.59,1.37,2.67,,0.73,1.76,0.85,,,,,,
March,,,,,0.72,,,0.13,1.6,1.28,,2.17,1.28,0.51,,,,,,
April,,,,,4.52,,,0.05,2.62,2.59,,0.64,1.36,1.54,,,,,,
May,,,,,0.93,,,1.55,1.22,2.11,,2.82,4.01,0.58,,,,,,
June,,,,,3.06,,,1.05,2.13,0.07,,0.11,1.7,1.95,,,,,,
July,,,,,0.49,,2.72,3.03,5.88,2.99,,1.41,1.22,2.32,,,,,,
August,,,,,1.87,,0.25,3.19,1.24,0.03,3.05,2.99,1.91,2.62,,,,,,
September,,,,,3.12,,1.89,1.62,0.45,0.44,0.98,1.53,2.13,2.54,,,,,,
October,,,,1.39,3.27,,2.24,2.35,2.66,2.17,2.79,2.06,1.34,3.83,,,,,,
November,,,,2.32,6.17,,1.73,3.06,3.8,5.27,3.05,1.21,1.73,4.05,,,,,,
December,,,,5.32,3.52,,1.91,4.21,1.37,0.85,1.29,4.22,1.92,2.05,,,,,,
Total,,,,,30.71,,,23.76,30.25,24.18,,22.96,26.36,25.23,,,,,,
