"BRIGG",,,,,,,,,,,,
Grid ref,TA004068,Long,-0.486157,Lat,53.548245,,,,,,,
Station no,RR51,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.69,0.82,0.60,1.42,1.15,0.36,2.08,0.52,1.09,1.02,,
February,2.28,1.73,0.98,0.59,2.07,0.63,2.21,1.27,1.64,0.82,,
March,0.35,1.05,0.88,1.99,1.27,1.78,1.75,0.96,2.38,2.26,,
April,0.91,1.27,1.55,1.25,0.81,1.73,0.69,1.59,2.22,1.82,,
May,1.25,0.67,2.24,2.27,1.58,0.38,1.46,2.42,1.25,0.67,,
June,1.60,1.84,1.98,1.45,0.37,3.21,1.34,2.43,0.99,2.46,,
July,1.68,1.14,1.80,2.17,4.25,1.03,0.91,1.36,3.16,3.07,,
August,5.72,1.93,2.15,4.37,3.95,3.01,1.03,1.30,2.13,3.76,,
September,0.76,0.77,0.33,3.45,1.65,1.42,0.93,0.50,1.45,1.48,,
October,2.48,2.30,2.56,4.99,0.71,1.73,4.45,3.72,0.91,2.90,,
November,2.35,2.38,0.73,1.33,1.15,2.56,3.33,1.79,1.14,0.33,,
December,3.18,4.35,1.43,0.75,1.26,0.41,1.52,1.93,1.10,4.45,,
Total,25.25,20.25,17.23,26.03,20.22,18.25,21.70,19.79,19.46,25.04,,
Calc annual,25.25,20.25,17.23,26.03,20.22,18.25,21.70,19.79,19.46,25.04,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
