BURY-ST-EDMUNDS-BARTON-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL884664,Long,0.759336,Lat,52.263486,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1392/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.63,3.17,3.62,3.07,6.37,1.5,1.89,2.94,3.81,1.53,2.16,1.29,1.76,3.66,0.8,1.39,2.23,2.33,0.94,1.4,1.48,3.28,1.6,2.28,2.26,2.41
February,,,,,2.6,2.97,2.86,0.9,0.79,1.48,2.07,0.98,0.56,1.16,1.89,1.53,1.07,0.72,0.88,3.17,3.23,0.91,1.09,2.22,1.96,0.89,2.12,3.49,0.17,1.37
March,,,,,0.56,0.34,3.68,0.82,1.94,3.56,3.32,1.68,0.65,0.38,1.35,1.32,3.57,0.75,0.86,0.4,3.5,2.79,0.54,2.37,1.34,0.62,1.68,0.71,1.97,1.38
April,,,,,2.1,1.26,2.88,0.52,2.43,1.29,1.24,0.85,0.95,1.56,1.5,0.75,1.58,1.32,1.42,1.95,3.7,1.44,2.3,0.35,0.39,0.96,0.37,1.39,1.99,0.68
May,,,,,1.69,1.75,2.36,1.98,0.97,0.55,2.26,1.97,1.2,1.31,2.33,2.11,0.44,2.78,2.49,2.19,2.19,1.05,1.7,2.14,2.02,0.88,1.03,1.95,0.21,0.59
June,,,,,3.18,4.38,2.01,1.36,1.42,0.41,0.56,0.77,1.81,1.15,2.12,3.04,4.02,2.67,0.91,1.46,1.38,1.74,3.94,2.02,2.64,3.39,1.48,4.39,1.49,2.99
July,,,,,0.48,4.36,1.21,0.93,2.8,3.65,1.79,4.14,1.1,2.21,1.13,9.5,1.49,1.84,1.23,1.53,2.29,0.89,3.32,3.1,0.09,1.72,3,2.99,3.04,3.71
August,,,,,1.62,0.95,1.66,1.37,2.72,0.44,4.45,2.01,1.61,1.4,2.86,3.98,0.11,3.77,1.79,2.45,3.69,2.98,1.92,3.86,3.22,4.48,2.8,2.53,0.61,4.03
September,,,,,4.62,2.09,1.7,1.92,1.76,0.63,0.44,2.74,1.88,3.12,2.5,2.88,1.11,1.22,1,2.97,3.38,2.24,1.48,1.58,1.75,1.79,4.47,2.93,0.12,2.86
October,,,,,1.95,1.51,1.79,2.08,5.56,1.86,2.07,4.04,1.62,2.79,1.66,1.23,0.22,1.9,4.14,0.48,0.64,2.38,2.43,1.75,4.17,1.75,1.76,1.86,1.84,4.87
November,,,,,3.49,3.09,1.71,2.44,3.55,5.77,2.36,2.82,1.69,3.54,0.56,3.54,1.46,1.55,2.05,3.97,3.65,3.85,1.41,3.66,0.74,0.68,1.75,1.49,2.07,3.14
December,,,,,2.05,1.73,2.69,2.68,1.34,1.89,1.37,2.64,1.39,1.01,2.65,2.31,2.7,1.47,1.52,1.55,1.6,2.05,0.76,2.33,1.55,2.28,2.07,3.16,3.7,3.17
Total,,,,,26.97,27.6,28.17,20.07,31.65,23.03,23.82,27.58,18.27,21.16,22.71,33.48,19.53,23.65,19.09,23.51,31.48,24.65,21.83,26.78,21.35,22.72,24.13,29.17,19.47,31.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
