"WHITE HILL, NEW CUMMOCK, AYRSHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS 57126 11436,Long,-4.256324,Lat,55.376052,Elevation,860,ft,,,,,,,,,,,,
Station no,RR2917,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.02,7.44,6.9,5.07,3.54,12.08,9.5,6.94,6.35,1.92,10.33,,
February,,,,,,,,4.23,6.58,5.69,6.73,4.9,6.1,0.93,2.67,1.47,3.86,5.07,,
March,,,,,,,,2.43,8.51,0.72,1.93,4.85,3.33,4.2,4.51,2.12,4.69,2.3,,
April,,,,,,,,6.16,4.24,2.19,1.64,2.51,1.17,0.48,2.54,1.56,2.3,2.85,,
May,,,,,,,,2.1,2.16,1.17,4.82,0.95,3.61,2.07,1.26,2.88,1.03,4.1,,
June,,,,,,,,3.05,1.29,1.99,1.88,2.41,5.65,1.31,1.85,4.17,3.21,4.03,,
July,,,,,,,,4.04,0.69,1.91,1.65,4.28,3.2,4.43,3.36,2.17,2.44,4.42,,
August,,,,,,,,2.84,5.46,1.31,2.47,4.34,3.57,6.34,5.25,2.53,4.64,6.48,,
September,,,,,,,,5.98,3.27,6.41,4.41,3.66,8.88,6.05,5.35,5.26,1.51,1.93,,
October,,,,,,,,5.36,7.5,2.34,8.62,3.2,3.98,7.39,8.56,4.39,3.78,6.26,,
November,,,,,,,,1.29,4.8,7.58,3.83,2.5,6.77,3.43,5.99,5.14,1.62,8.92,,
December,,,,,,,,4.46,9.49,7.62,2.1,6.39,9.95,4.15,2.1,3.74,6.14,5.94,,
Total,,,,,,,,45.96,61.43,45.83,45.15,43.53,68.29,50.28,50.38,41.78,37.14,62.63,,
