ULDALE CHAPEL HOUSE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY260360,Long,-3.150162,Lat,54.713542,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.46,6.69,2.19,4.39,3.24,4.73,2.78,2.9,3.41,3.47,4.66,5.21,2.67,4.57,4.18,5.2,7.81,4.41,3.76,3.93,4.09,5.99,4.96,7.4,1.18,7.38,4.49,6.93,5.55,6.04,3.13,4.55,7.31,5.7,6.45,1.65,1.52,5.69,5.75,5.94,4.62,5.31,6,6.69,4.53,3.18,5.04,3.79,2.34,3.6,2.64,1.79,4.52,3.61,1.84,5.12
February,,,,,,2.74,3.35,2.05,3.49,4.34,8.13,5.12,1.98,2.84,6.26,7.42,4.82,1.73,4.53,0.72,4.79,0.34,3.63,6.85,1.01,6.15,5.45,1.84,4.96,1.03,0.69,4.8,0.15,6.02,0.23,6.57,3.67,4.91,1.61,5.18,0.96,6.22,2.14,4.87,2.39,5.33,3.45,1.5,2.74,3.69,5.32,4.78,1.48,1.45,3.57,1.78,0.9,4.25,5.08,1.52,4.26
March,,,,,,3.42,2.53,4.28,4.26,4.35,3.17,1.87,5.92,5.55,4.6,2.42,2.15,2.38,0.54,3.67,7.46,7.01,1.84,1.14,0.95,2.45,1.94,3.66,3.89,0.53,2.6,0.98,3.65,3.51,2.74,1.36,2.22,3.04,2.8,3.43,6.09,3.26,1.56,1.88,0.52,3.61,1.67,5,4.21,1.8,2.61,6.3,1.59,0.72,2.77,1.38,1.07,3.23,0.84,2.47,1.1
April,,,,,,3.31,1.4,2.78,2.61,3.36,3.56,4.56,1.08,5.11,1.97,3.45,4.49,2.28,1.11,2.77,3.49,1.22,3.12,4.07,1.82,5.47,2.69,3.29,1.2,1.45,1.98,4.05,3.26,2.27,4.02,3.82,1.27,2.12,0.62,2.42,1.87,1.78,2.14,2.96,2.44,1.78,2.43,7.53,1.95,4.88,3.53,2.63,3.16,3.45,1.33,2.26,1.02,0.9,2.33,3.68,2.76
May,,,,,,2.38,5.61,4.07,3.23,1.71,3.19,3.29,2.61,2.97,3.28,1.39,3.57,1.94,1.93,1.11,5.22,2.22,2.2,4.35,4.13,4.16,3.03,2.27,1.65,2.09,1.79,4.84,3.02,3.58,4.06,1.09,1.37,2.24,2.73,0.8,2.08,4.9,3.67,5.02,3.33,7.62,2.4,3.45,0.71,2.24,2.97,2.7,3.43,2.22,4.24,3.2,2.86,2.01,3.69,2.21,1.78
June,,,,,,1.6,1.95,5.39,2.17,3.12,2.12,6.19,5.49,3.27,1.83,1.2,3.4,2.76,2.42,2.97,1.84,0.69,3.68,1.73,3.01,0.52,4.8,3.77,4.6,1.76,2.67,6.36,1.5,1.83,3.22,3.82,3.1,1.7,5.57,3.42,1.31,1.39,1.55,3.78,4.84,4.13,3.47,3.03,6.49,1.24,3.45,1.43,3.7,1.93,4.96,3.85,2.32,2.15,3.26,4.3,1.24
July,,,,,,2.4,3.02,2.72,5.08,8.08,6.24,0.75,4.27,1.09,4.75,4.18,5.38,1.18,4.2,1.61,6.33,2.79,5.68,2.94,4.65,2.13,3.61,5.61,5.93,5.01,4.93,6.42,6.36,4.28,2.17,2.67,5.33,3.68,5.27,5.83,7.16,2.07,5.37,3.7,3.08,3.68,5.58,3.93,2.5,2.74,3.9,4.35,4.15,6.92,5.66,2.27,5.79,3.87,2.8,4.02,4.68
August,,,,,,4.24,5.21,3.8,5.96,3.7,6.11,2.97,5.87,2.86,2.68,2.58,2.92,7.1,4.84,4.32,3,6.3,3.83,8.17,4.47,4,4.07,7.13,5.41,6.99,8.75,4.35,1.54,3.23,5.62,2.81,2.07,2.87,5.08,2.6,3.81,7.2,4.2,8.99,4.12,3.42,6.85,0,5.76,3.04,5.12,4.38,7.05,4.94,5.77,2.21,10.34,5.45,6.46,0.87,3.09
September,,,,,,3.85,1.55,0.43,4.99,3.04,1,2.87,2.5,2.21,2.29,1.31,2.69,4.9,10.54,2.5,2.37,2.05,4.2,5.88,5.69,4.8,4.89,8.07,3.47,1.75,2.65,2.51,7.26,1,4.16,6.62,5.52,4.27,2.69,2.2,5.55,1.3,6.27,5.83,7.19,4.34,7.67,4.14,7.13,2.53,10.24,5.88,5.51,7.29,7.71,2.74,3.72,4.91,4.81,1.9,4.39
October,,,,,,3.73,7.14,9.5,1.56,7.3,2.25,4.76,5.13,4.09,1.61,1.91,9.01,7.19,6.34,2.28,1.62,4.95,1.73,8.23,4.34,5.04,3.84,4.67,8.03,6.52,7.05,4.23,5.99,3.73,7.42,7.79,5.97,4.21,11.74,2.28,4.11,7.57,7.66,7.33,6.09,3.96,0.52,1.34,5,6.55,4.95,2.16,5.43,2.99,9.77,3.22,3.94,5.12,4.57,5.03,3.21
November,,,,,,4.08,4.79,4.61,3.56,3.26,4.07,4.87,5.19,4.69,7.27,1.52,6.43,5.57,3.85,3.05,3.21,2.08,1.76,6.77,4.48,1.89,6.46,6.01,7.47,8.43,4.65,5.81,3.14,1.53,1.47,4.28,6.06,1.21,9.49,7.28,5.68,3.15,1.45,3.08,9.5,0.72,6.52,8.68,3.68,5.71,4.3,10.88,2.69,6.35,8.17,2.02,2.62,1.95,1.82,6.5,7.06
December,,,,,,3.15,4.88,7.31,3.5,6.39,7.58,9.17,6.86,5.19,8.45,7.51,4.75,2.74,6.18,6.56,3.4,7.44,5.55,4.3,6.89,4.67,1.52,2.09,3.65,9.36,4.37,3.95,4.42,0.94,6.69,2.61,6.47,2.29,4.62,2.27,4.93,2.8,7.13,2.94,5.23,3.32,3.91,3.73,5.4,7.2,1.74,9.41,5.04,2.96,5.67,6.3,5.59,4.9,4.02,7.74,3.56
Total,,,,,,37.36,48.12,49.13,44.8,51.89,52.15,49.2,49.8,43.28,48.46,39.55,54.82,42.44,51.05,35.74,47.93,44.9,41.63,58.19,45.37,45.37,48.29,53.37,57.66,46.1,49.51,52.79,47.22,37.47,47.84,46.57,47.6,39.85,57.92,44.16,45.2,43.16,48.83,56.13,54.67,46.53,49.78,48.33,52.26,46.15,51.31,59.94,47.02,43.56,63.22,33.87,41.96,43.26,43.29,42.08,42.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 total wrong addition on record - total edited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
