BEAULIEU-DROKES-(NEW-GAUGE),,,,,,,,,,,
Grid ref,SZ408988,Long,-1.42254,Lat,50.78737,Elevation,45,ft,,,
Station no,RR6850,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,4.3,3.45,2.12,,,
February,,,,,,4.53,1.7,3.73,,,
March,,,,,,0.16,0.4,2.73,,,
April,,,,,2.74,2.76,3.12,1.84,,,
May,,,,,2.91,3.75,0.42,0.54,,,
June,,,,,2.12,0,2.7,2.1,,,
July,,,,,2.6,2.16,1,2.32,,,
August,,,,,2.23,5.02,0.99,4.09,,,
September,,,,,5,2.88,0.37,6.41,,,
October,,,,,4.52,3.71,2.98,1.92,,,
November,,,,,2.05,3.18,7.58,2.83,,,
December,,,,,3.96,3.45,0.47,3.61,,,
Total,,,,,,35.9,25.18,34.24,,,
,,,,,,,,,,,
Gauge at 1ft above ground,,,,,,,,,,,
