LYME-REGIS-ROUSDON-(MONTHLY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY297905,Long,-2.9964,Lat,50.7107,Elevation,516,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.97,4.35,3.55,1.42,0.67,4.56,2.43,1.69,2.79,3.34,3.68,0.96,2.47,0.93,4.95,4.89,3.05,0.93,3.25,4.28,1.12,6.36,1,1,1.33
February,,,,,,4.08,0.98,0.46,0.64,2.38,1.21,0.03,1.11,3.51,2.62,0.08,0.53,3.87,1.8,3.63,4.62,1.2,1.77,1.46,4.81,0.64,3.69,1.56,2.14,0.3
March,,,,,,1.65,3.97,1.15,3.87,2.81,1.36,3.9,0.69,0.23,1.37,2.8,3.29,4.29,1.38,0.34,1.4,2.56,2,3.57,1.91,4.68,1.6,0.68,2.81,5.35
April,,,,,,2.82,2.42,0.96,1.57,3.4,3.84,1.17,1.05,0.2,2.11,2.11,0.33,3.58,1.38,3.63,1.69,3.23,1.78,3.22,1.15,2.5,0.85,4.15,2.8,1.97
May,,,,,,2.8,3.77,2.08,1.55,2.04,3.63,3.08,1.01,0.73,2.4,0.33,0.04,1.4,3.42,1.1,1.79,1.41,1.88,2.41,3.38,0.62,3.2,2.03,1.65,1.22
June,,,,,,2.05,0.46,0,3.77,0.42,2.99,1.85,1.63,0.54,2.1,1.35,1.59,3.41,0.96,1.02,3.28,1.99,3.14,1.93,1,1.88,1.22,1.93,0.48,4.72
July,,,,,4,0.25,2.61,0.74,5.16,3.48,4.39,3.07,3.8,5.37,4.55,2.39,1.64,0.97,0.17,0.89,0.94,2.72,2.15,2.94,5.82,0.49,1.27,1.62,1.44,3.26
August,,,,,1.56,1.91,1.61,1.97,2.64,3.38,3.75,6.5,3.1,1.17,1.95,2.94,2.09,5.05,1.24,1.71,1.87,1.6,3.46,4.2,3.76,2.97,1,1.4,4.12,2.78
September,,,,,2.27,4.56,2.49,3.06,0.86,1.32,1.1,1.95,2.08,2.14,2.42,0.7,6.1,2.97,1.13,2.12,0.6,3.56,2.17,4.5,2.26,1.67,1.25,0.86,2.98,2.57
October,,,,,0.82,4.95,4.16,3.39,1.63,4.42,0.99,7.66,3.57,2.68,3.55,3.75,2.58,1.49,4.68,2.2,2.28,2.78,3.42,5.9,2.14,2.53,5.05,7.55,5.2,5.45
November,,,,,1.8,3.84,2.76,3.33,8.76,1.52,3.17,4.39,3.31,2.31,6.48,6.31,1.09,0.78,4.65,3.49,3.37,0.63,4.14,1.49,1.74,5.39,3.13,2.87,1.03,0.86
December,,,,,4.21,2.44,6.81,3.24,3.05,2.51,2.42,4.84,1.35,3.29,2.5,3.34,6.3,5.76,3.65,2.82,5.6,6.35,2.02,3.6,3.35,0.97,2.2,4.75,3.32,5.5
Total,,,,,,34.32,36.39,23.93,34.92,28.35,33.41,40.87,24.39,24.96,35.39,29.78,26.54,36.04,25.39,27.9,32.33,31.08,28.86,38.47,35.6,25.46,30.82,30.4,28.97,35.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appears it might have moved in 1892 as elevation changed by 8ft but no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good open position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
