"CONSETT W.W. SMIDDY SHAW",,,,,,,,,,,,
Grid ref,NZ040463,Long,-1.939287,Lat,54.811546,,,,,,,
Station no,3553,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.20,2.03,1.18,3.90,2.61,0.58,3.33,1.06,1.89,1.79,,
February,9.07,1.03,1.54,3.48,3.44,1.21,1.58,1.54,2.35,2.07,,
March,1.79,3.66,1.69,3.64,3.18,2.65,1.64,1.80,5.30,6.24,,
April,1.74,1.73,1.83,1.69,2.00,3.59,2.35,2.03,4.04,2.87,,
May,1.73,2.10,2.65,3.39,3.06,1.09,5.17,4.07,2.93,2.14,,
June,3.85,1.61,2.82,2.29,1.86,1.05,1.20,3.84,0.66,3.83,,
July,1.54,3.48,3.88,5.05,2.45,0.88,0.97,2.09,2.55,2.43,,
August,7.19,2.18,1.98,2.67,3.28,4.15,4.05,2.06,2.42,4.10,,
September,0.91,1.66,1.20,3.28,0.80,2.85,1.24,0.33,2.90,2.77,,
October,5.99,2.81,3.78,9.80,0.93,2.61,4.58,7.31,3.11,2.95,,
November,3.91,5.56,2.44,1.93,2.31,5.90,4.60,2.64,1.73,0.92,,
December,3.16,2.56,3.43,2.21,2.31,1.12,2.06,5.07,1.14,4.20,,
Total,45.08,30.41,28.42,43.33,28.23,27.68,32.77,33.84,31.02,36.31,,
Calc annual,45.08,30.41,28.42,43.33,28.23,27.68,32.77,33.84,31.02,36.31,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
