"WEARDALE W.W. (SMIDDY SHAW)",,,,,,,,,,,,
Grid ref,NZ039462,Long,-1.940844,Lat,54.810648,,,,,,,
Station no,3553,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,3.22,0.65,3.16,2.64,4.08,2.63,2.58,3.21,4.93,,
February,3.49,0.55,2.20,2.68,2.86,3.92,3.25,4.26,0.35,3.74,,
March,4.39,1.50,0.18,2.00,1.92,1.31,1.45,3.04,1.18,2.62,,
April,2.39,1.78,2.97,0.79,0.50,1.20,0.36,1.48,2.87,1.61,,
May,4.73,1.79,2.88,4.71,2.24,0.68,1.74,3.48,0.80,2.19,,
June,1.53,1.48,3.67,2.08,2.80,3.35,1.88,3.68,2.48,0.47,,
July,2.17,1.35,2.15,1.86,1.29,3.05,3.87,2.94,1.35,5.39,,
August,6.11,3.72,4.57,7.38,1.04,9.46,4.49,2.64,0.69,3.46,,
September,2.03,4.70,2.10,3.10,1.29,3.32,3.66,2.59,1.23,2.98,,
October,0.89,4.05,2.02,4.60,2.01,1.94,2.17,2.15,1.73,10.64,,
November,8.27,3.29,1.84,4.77,1.88,0.97,2.08,0.45,4.94,3.78,,
December,4.07,3.65,1.42,3.12,3.71,3.43,2.54,4.77,5.14,2.78,,
Total,42.65,31.08,26.65,40.25,24.18,36.71,30.12,34.06,25.97,44.59,,
Calc annual,42.65,31.08,26.65,40.25,24.18,36.71,30.12,34.06,25.97,44.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
