SPRINGTHORPE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK878897,Long,-0.681,Lat,53.397,Elevation,75,ft,,,,,,,,,,,,,,,,,,,
Station no,2560,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
January,,3.12,3.19,1.16,2.27,0.41,2.86,1.50,2.84,2.18,1.83,2.31,1.83,1.88,1.53,2.47,1.27,3.70,1.94,2.82,2.64,0.95,1.91,1.77,2.17,3.68,3.45
February,,1.26,0.75,0.52,2.66,3.39,0.75,0.98,2.33,1.88,0.17,2.60,3.95,0.77,2.01,1.01,1.46,1.63,0.78,0.67,2.34,0.75,2.24,0.77,2.19,2.49,2.05
March,,2.63,2.60,2.02,1.15,3.71,1.76,1.22,2.86,4.26,0.91,1.65,1.33,0.96,0.86,0.48,1.54,1.82,0.22,2.03,0.41,1.32,2.53,1.63,0.50,0.92,1.76
April,,0.22,2.03,0.76,0.77,1.14,1.77,1.05,2.03,4.11,1.12,1.82,1.07,1.43,2.45,2.08,2.10,0.76,0.74,2.65,3.17,1.99,0.71,2.28,2.23,1.33,2.76
May,,2.87,1.74,1.45,2.05,1.83,1.43,2.43,0.82,2.05,1.62,0.91,2.87,2.68,3.26,2.21,1.15,1.81,0.90,1.60,3.43,5.13,2.01,1.14,0.41,1.15,3.51
June,,3.99,0.69,2.03,1.14,2.41,1.29,0.75,1.41,1.44,0.18,0.91,1.32,1.14,0.15,3.40,3.16,2.02,1.15,1.83,4.47,0.68,2.39,1.19,2.68,5.27,1.73
July,,4.31,0.34,1.79,5.50,1.88,1.26,2.80,2.62,3.42,0.54,3.98,3.50,2.11,0.83,1.62,2.52,0.55,1.25,3.72,4.16,1.97,1.64,0.86,0.57,5.45,2.48
August,,4.48,1.02,2.34,3.31,4.12,5.87,1.91,1.91,0.42,3.50,3.10,3.11,2.87,1.34,2.39,3.15,3.12,1.97,2.52,5.38,2.91,0.28,1.73,1.25,3.26,
September,0.94,1.36,1.91,0.97,0.70,1.29,0.73,3.60,1.35,1.14,0.72,2.40,2.28,2.86,2.70,0.79,3.52,0.17,1.09,4.00,2.93,1.31,1.86,1.19,3.45,2.06,
October,1.77,2.61,2.15,2.34,1.02,1.39,2.60,0.94,2.73,1.96,0.87,1.05,1.51,4.39,2.42,2.10,1.55,3.86,3.16,2.28,0.79,3.35,4.20,1.06,2.87,1.81,
November,2.47,2.55,1.88,2.09,2.11,2.50,1.34,1.63,2.19,0.93,1.29,0.80,2.19,1.43,2.39,2.39,2.24,2.45,4.45,3.20,2.62,1.35,2.00,2.26,4.26,1.28,
December,3.87,2.45,0.86,4.28,4.70,2.29,0.83,3.38,3.17,2.41,1.39,3.01,2.60,1.84,1.58,0.65,2.27,1.77,3.81,1.79,1.05,0.86,0.38,3.91,2.49,1.34,
Total,,31.85,19.16,21.75,27.38,26.36,22.49,22.19,26.26,26.20,14.14,24.54,27.56,24.36,21.52,21.59,25.93,23.66,21.46,29.11,33.39,22.57,22.15,19.79,25.07,30.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/079,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/068,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/144,,,,,,,,,,,,,,,,,,,,,,,,,,,
