RATHANGAN (CLONBRIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN6302216797,Long,-7.0576032,Lat,53.198114,Elevation,224,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.37,1.99,2.43,3.52,2.19,2.35,5.37,3.06,3.8,2.69,4.29,2.45,4.84,1,4.34,2.39,2,0.96,0.76,2.16,3.8,3.34,2.79,,,,
February,,,,0.87,0.92,3.11,3.1,2.63,2.72,2,1.88,2.2,3.41,0.38,1.85,1.93,3.62,2.26,2.04,3.36,2.14,3.66,2.58,3.53,2.36,3.03,,,,
March,,,,2.02,2.43,1.83,2.89,2.69,2.72,2.28,2.43,1.53,2.85,3.27,1.59,1.27,3.21,3.21,1.89,1.62,4.96,2.26,3.8,1.04,2.32,1.6,,,,
April,,,,1.18,1.29,0.77,2.11,3.41,2.41,2.05,0.86,3.78,2.53,1.59,2.02,0.58,2.11,3.95,1.27,2.46,2.92,1.73,3.18,2.08,1.68,4.58,,,,
May,,,,2.37,1.51,3.19,1.11,3.4,2.11,2.94,2.75,0.61,2.03,1.53,1.52,2.17,0.38,2.16,5.43,2.89,1.21,2.65,4,1.43,2,1.93,,,,
June,,,,3.59,2.08,0.56,3.52,1.03,2.79,0.78,1.13,2.32,3.79,1.56,0.98,3.35,1.67,3.16,3.84,5.5,3.05,4.27,2.74,2.78,0.49,1.25,,,,
July,,,,0.52,0.73,5,1,2.83,1.54,2.22,1.97,5.39,1.35,3.82,3.42,2.18,0.86,2.97,0.69,4.58,5.14,2.32,5.7,3.48,3.01,2.11,,,,
August,,,,3.73,2.07,2.81,2.33,2.45,3.84,1.34,2.19,1.69,4.47,5.28,4.89,1.64,3.9,2.86,3.59,3.57,1.82,4.6,2.82,3.77,1.2,3.31,,,,
September,,,,2.42,3.22,0.33,3.82,1.53,4.05,4.01,3.24,1.87,2.95,1.99,3.35,4.66,3.55,1.96,2.99,5.29,2.55,2.17,2.28,3.91,1.61,4.91,,,,
October,,,,4.86,3.37,3.81,1.9,3.66,2.11,2.9,6.33,2.72,4.7,4.1,3.87,3.58,3.17,2.69,2.46,1.37,3.59,1.74,3.01,2.73,1.59,2.33,,,,
November,,,,2.71,3.47,3.19,1.85,0.73,1.65,3.05,1.01,1.45,3.37,2.09,2.43,3.3,3.41,4.38,1.33,0.84,3.15,3.86,4.49,4.2,3.07,1.72,,,,
December,,,,1.97,2.17,2.96,2.81,1.99,5.52,3.63,1.87,2.87,5.81,1.04,3.61,1.77,6.29,3.33,1.5,1.3,3.44,3.81,3.19,1.75,3.88,0.82,,,,
Total,,,,28.61,25.25,29.99,29.96,28.54,33.81,32.57,28.72,30.23,39.95,30.94,31.98,31.27,33.17,37.27,29.42,34.78,34.93,33.83,39.95,34.5,26.55,30.38,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for Clonbrin township as no more precise details given on records.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
