NEWARK-THE-FRIARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK802540,Long,-0.80428,Lat,53.077216,Elevation,48,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.5,1.91,1.56,2.44,1.73,4.04,1.34,3.11,2.47,0.86,2.13,1.67,1.52,3.33,2.49,2,3.9,1.61,2.76,2.37,3.39,2.28,1.57,1.54,1.83,3.58,1.04,0.87,2.2,1.23,0.89,0.84,2.09,4.14,0.72,2.9,2.66,4.34
February,,,,3.52,0.86,1.9,1.35,1.38,1.67,0.62,0.44,2.66,0.65,2.09,0.47,2.17,1.69,2.42,0.97,0.56,3.17,2.41,0.99,0.41,2.6,1.8,1.94,1.61,1.11,0.52,4.41,3.26,0.33,2,2.65,3.09,0.99,2.31,3.25,0.19,1.86
March,,,,0.99,1.03,0.75,0.62,1.59,1.87,0.28,2.1,0.4,1.37,2.66,1.67,0.44,0.84,2.09,0.24,1.7,1.87,3.18,1.66,0.5,0.27,0.83,1.03,4.36,0.23,1.33,0.75,3.4,2.73,0.58,1.87,2.48,0.7,1.92,1.47,1.37,1.49
April,,,,1.84,1.54,1.22,1.87,2.26,0.84,1.34,2.83,3.24,2.12,0.76,1.58,2.33,1.38,2.26,0.06,1.73,1.34,0.84,0.89,0.86,1.99,1.14,1.74,1.91,0.98,2.13,2.51,1.53,1.25,2.03,0.18,1.09,1.62,0.28,0.52,2.14,0.79
May,,,,2.3,2.69,4.1,1.93,0.83,1.61,1.16,1.3,2.9,5.37,1.46,0.73,0.38,0.54,2.94,3,1.17,0.7,1.89,3.98,2.49,0.75,1.89,1.1,0.79,1.93,1.56,1.83,3.17,1.91,1.88,3.66,3.54,0.5,1.15,2.1,0.72,0.78
June,,,,0.86,1.79,0.06,2.25,3.04,1.68,1.34,1.72,2.93,0.6,2.39,0.49,2.01,3.18,0.56,1.04,2.21,1.16,0.26,1.42,1.24,1.81,2.22,2.92,2.44,2.23,0.91,1.23,0.95,2.01,2.69,3.88,4.39,3.96,1.98,4.34,0.47,1.3
July,,,,3.91,2.11,0.8,1.43,2.88,1.16,1.28,3.79,4.3,8.28,1.61,2.48,2.25,6.48,2.73,3.13,2.89,3.69,3.17,2.1,0.8,1.49,1.97,1.45,1.44,0.82,3.11,2.4,0.86,0.31,1.53,1.63,0.52,3.11,3.59,4.73,1.53,4.82
August,,,,2.66,2.33,1.99,2.32,3,2.45,2.11,1.85,3.97,1.67,0.61,1.8,1.95,1.69,0.42,3.02,2.73,0.37,3.46,2.13,1.59,2.73,2.83,3.61,0.23,2.46,1.35,2.44,5.14,1.76,1.78,3.76,0.22,5.04,3.34,3.92,0.52,3.92
September,,,,2.23,2.19,2.41,0.93,4.88,0.34,0.58,4.24,3.28,1.41,1.84,1.18,4.07,2.89,0.76,2.33,0.53,0.49,0.3,0.84,2.22,3.42,1.73,2.64,1.09,2.37,1.18,2.92,1.32,1.59,0.95,2.42,0.55,2.13,4.71,1.98,0.05,3.25
October,,,,1.93,4.28,2.48,1.86,1.93,4.41,2.36,2.44,0.58,2.85,3.33,1.02,2.27,1.5,2.28,1.94,2.79,3.76,2.63,2.17,1.8,2.48,2.86,0.91,0.25,1.55,4.31,0.9,1.35,2.98,1.97,3.11,1.19,0.95,1.03,1.18,1.76,4.77
November,,,,1.99,1.22,1.75,2.53,2.06,2.7,4.18,3.34,2.27,1.79,1.59,1.79,4.13,2.38,1.1,2.12,3.67,5.41,2.37,1.72,1.62,3.39,0.62,4.39,0.91,0.95,2.58,3.89,4.5,1.99,1.38,4.39,0.98,0.66,2.01,0.92,1.74,3.07
December,,,,2.35,2.81,2.03,0.89,2.6,2.42,3.8,1.81,1.07,0.89,0.27,3.78,2.61,1.32,2.17,3.43,1.39,1.35,0.4,1.3,0.65,0.89,1.53,2.23,1.64,2.7,1.55,1.27,0.92,1.85,0.77,2.4,1.58,1.25,1.24,2.97,2.58,2.92
Total,,,,26.08,24.76,21.05,20.42,28.18,25.19,20.39,28.97,30.07,27.86,20.74,18.66,26.13,27.22,22.22,23.28,25.27,24.92,23.67,21.57,17.57,24.1,20.99,25.5,18.5,20.91,21.57,25.42,28.6,19.94,18.45,30.79,21.72,25.05,24.28,30.28,15.73,33.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Small gauge move approx 200 feet South of previous station position of QUEENS ROAD DEPOT. NGR not changed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
