NORTH BERWICK KINGSTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NT538822,Long,-2.742916,Lat,56.030457,Elevation,176,ft,,,,,,,,,,,,
Station no,RR2697,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.95,1.52,2.5,0.99,4.5,,2.26,0.58,1.15,1.15,1.59,2.33,1.18,2.73,,,
February,,,,1,0.75,1.55,2.9,1.38,,2.08,1.23,2.53,0.78,1.57,0.58,1.53,0.94,,,
March,,,,1.6,1.15,0.95,2.38,2.25,,2.26,1.72,1.92,1.6,1.37,3.02,1.14,1.62,,,
April,,,,0.45,0.67,0.58,3.66,2.92,,1.97,2.49,1.14,3.57,1.41,1.22,2.29,1.45,,,
May,,,,1.75,1.15,0.53,0.72,1.65,,1.97,1.1,2.03,1.95,0.83,1.86,3.01,3.48,,,
June,,,,1.3,0.42,2.66,2.6,2.58,,5.19,2,2.24,2.55,2.02,0.53,0.84,1.23,,,
July,,,,4.62,5.63,2.11,2.11,5.27,,5.22,2.98,4.02,4.11,3.25,3.4,0.87,2.77,,,
August,,,,3.2,4.11,0.88,3.55,6.76,,3.23,0.66,5.71,1.77,2.49,1.94,2.07,1.32,,,
September,,,,2.8,1.75,2.58,4.46,1.3,,1.29,2.32,3.78,2.54,1.95,1.9,2.81,2.45,,,
October,,,,3.07,1.9,3.65,2.31,2.28,,0.83,3.97,4.2,3.21,1.42,1,1.16,3,,,
November,,,,2.65,4.45,5.24,3.69,1.59,,2.58,3.38,1.33,2.77,1.36,1.13,1.27,1.79,,,
December,,,,1.66,2.5,1.55,8.6,2.19,,0.77,2.05,1.06,3.5,0.81,1.48,0.61,2.26,,,
Total,,,,26.05,26,24.78,37.97,34.67,28,29.65,24.48,31.11,29.5,20.07,20.39,18.78,25.04,,,
