"HORSELL LINDISAYE",,,,,,,,,,,,
Grid ref,TQ004595,Long,-0.560463,Lat,51.325750,,,,,,,
Station no,RR4864,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.84,,,0.93,,,,,,
February,,,0.73,,,0.60,,,,,,
March,,,1.73,,,3.68,,,,,,
April,,,0.86,,,1.42,,,,,,
May,,,2.02,,,0.63,,,,,,
June,,,4.51,,,5.25,,,,,,
July,,,0.91,,,0.40,,,,,,
August,,,3.82,,,2.96,,,,,,
September,,,0.78,,,1.76,,,,,,
October,,,1.70,,,1.77,,,,,,
November,,,1.92,,,2.84,,,,,,
December,,,1.13,,,0.59,,,,,,
Total,22.80,18.85,20.95,39.98,22.71,22.83,23.82,23.96,23.43,25.16,,
Calc annual,0.00,0.00,20.95,0.00,0.00,22.83,0.00,0.00,0.00,0.00,,
Difference,22.80,18.85,0.00,39.98,22.71,-0.00,23.82,23.96,23.43,25.16,,
