"CARRADALE (SADDELL MANSE)",,,,,,,,,,,,
Grid ref,NR798382,Long,-5.495788,Lat,55.587508,,,,,,,
Station no,5419/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.48,9.07,3.78,6.77,4.38,6.98,7.94,6.87,3.78,6.74,,
February,4.63,3.26,2.90,5.81,5.87,1.65,3.71,5.04,2.65,5.60,,
March,5.18,4.72,1.93,6.27,2.29,3.01,7.11,1.60,4.57,2.96,,
April,4.25,2.77,2.98,2.92,5.78,1.82,2.90,2.50,4.32,4.73,,
May,1.93,1.59,2.78,4.70,6.93,3.79,2.77,3.10,1.42,2.99,,
June,3.09,4.49,2.13,6.09,5.58,4.08,3.36,3.61,3.23,2.90,,
July,5.02,5.39,7.52,6.02,1.25,6.96,5.50,5.04,5.35,5.28,,
August,5.42,7.10,5.43,5.22,1.52,7.32,5.34,6.00,1.12,2.70,,
September,4.43,5.66,8.68,9.46,7.08,4.06,7.02,5.20,2.13,3.68,,
October,2.65,5.57,4.33,11.50,5.04,3.51,6.98,6.50,9.59,4.36,,
November,9.66,3.83,10.32,11.06,2.60,4.31,3.23,3.64,6.27,8.29,,
December,11.03,8.08,5.82,12.10,9.89,7.75,6.77,8.70,11.29,8.24,,
Total,64.77,61.53,58.60,87.92,58.21,55.24,62.63,57.80,55.72,58.47,,
Calc annual,64.77,61.53,58.60,87.92,58.21,55.24,62.63,57.80,55.72,58.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
