MANCHESTER ARDWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ853971,Long,-2.2229181,Lat,53.470427,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR222 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,,2,0.4,3.15,2.85,0.35,0.65,0.5,1.2,0.6,5.6,3.95,3.7,3.1,0.05,2.6,,,,,,,,,,,,,,,3.36,0.83,2.45,3.29,2.01,2.01,3.12,0.26,2.14,3.93,1.31,2.53,3.22,3.38,2.18,1.56,3.57,1.3,3.99,3.46,3.64,4.07,2.02,4.91,3.76,1.64,1.77,0.71,2.9,4.15,4.43,1.81,4.92,1.72,1.44,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,,1.75,2.8,1.3,2,1.55,4.15,2.3,0.65,3.4,2.2,3,2.6,3.2,1.4,,,,,,,,,,,,,,,,2.62,1.39,3.53,1.61,0.09,2.85,0.94,2.66,0.64,1.01,3.45,2.35,2.98,2.73,2.11,3.75,0.92,2.95,2.21,0.49,1.55,0.66,3.84,5.58,0.88,2.84,2.29,5.52,2.25,1.62,2,2.5,0.77,0.79,1.18,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,,1.15,0.9,5.25,2.15,0.2,0.8,3.1,2.2,0.85,2.8,3.25,3.6,1.6,1.95,,,,,,,,,,,,,,,,1.55,2.28,0.2,2.35,2.79,5.1,3.24,5.26,2.11,0.94,1.69,1.42,2.31,1.38,3.41,1.31,1.98,1.58,3.83,2.57,3.53,0.76,3.86,2.59,1.87,1.89,2.11,4.31,2.38,1.19,2.22,2.25,2.17,1.77,1.56,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,,2,2.05,1.15,3.45,3,4,1.9,2.4,3.4,1.6,1.1,2.8,1.4,2.7,,,,,,,,,,,,,,,,0.51,1.13,2.52,2.72,3.2,3.55,1.24,1.29,2.43,1.07,1.26,1.24,0.44,4.5,1.54,1.54,2.15,3.69,3.44,0.68,1.2,0.54,3.06,1.85,1.7,1.97,1.56,1.45,3.54,1.7,0.81,0.92,1.27,1.49,1.57,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,,4.75,0.39,1.55,1.15,1.1,3.3,2.75,2.95,0.3,1.05,2.5,0.6,2.95,3.2,,,,,,,,,,,,,,,,2.36,1.61,3.06,2.93,2.37,0.42,2.93,0.65,3.38,1.43,2.97,2.93,1.77,1.87,0.88,2.3,0.99,2.32,3.36,2.59,1.73,1.94,1.22,2.99,3.43,1.73,2.17,4.02,2.14,0.95,1.64,1.68,5.52,2.4,0.72,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,,3,0.18,1.6,2.75,3.2,6.3,2.3,4,7.6,3.3,2.1,4.3,2,4.7,,,,,,,,,,,,,,,,2.19,4.07,2.85,3.33,3.52,2.32,6.59,2.12,2.02,4.11,2.69,0.96,3.71,1.57,0.55,1.45,1.87,2.96,5.54,2.42,1.2,4.17,3.51,2.57,2.71,4.66,2.34,1.74,6.75,3.78,0.88,3.96,1.65,1.24,3.13,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,,0.75,2.95,2,10.65,4.7,3.95,2.95,2.25,2.6,6.4,2.1,5.4,2.75,4,,,,,,,,,,,,,,,,3.36,4.33,3.11,4.99,2.72,1.88,1.66,3.89,3.12,1.79,1.8,2.9,3.68,4.31,0.33,1.19,1.4,3.78,7.15,5.53,2.36,4.72,2.89,4.97,1.28,4.01,5.36,3.65,5.56,2.77,4.23,1.42,5.08,0.81,6.25,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,,4.5,2.5,4.55,3.45,5,2.8,3.75,5.5,4.7,1.55,2.8,1.7,2.55,4.9,,,,,,,,,,,,,,,2.95,2.34,3.02,4.25,6.54,4.47,6.08,5.33,1.87,2.57,4.82,2.3,4.19,5.93,1.43,2.31,2.28,1.71,1.75,3.59,4.54,3.5,4.33,3.98,4.57,5.64,5.62,2.77,5.39,2.94,3.53,1.75,1.66,2.46,1.12,2.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,,1.5,2.3,2.4,3.35,4.8,6,3.15,1.7,3.2,4.25,5.3,4.6,2.9,1.4,,,,,,,,,,,,,,,2.57,1.98,0.85,2.99,3.69,3.73,4.81,1.78,3.95,4.52,5.02,3.13,0.66,7.02,3.91,1.56,6.35,2.89,4.54,7.13,2.38,4.04,4.33,2.97,2.79,3.48,3.13,4.91,2.21,1.78,5.37,3.01,4.46,3.58,4.59,1.69,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,,4.5,3.7,4.6,2.7,3.1,1.7,2.83,3.9,3.6,1.5,4.1,3.35,5,5,,,,,,,,,,,,,,,3.65,3.15,5.1,2.52,1.97,5.2,2.18,3.95,1.43,4.9,4.31,1.88,4.73,2.81,3.9,3.99,3.23,8.48,4.69,4.76,4.32,4.3,4.74,2.66,3.77,3.93,2.67,2.31,2.95,3.11,5.24,2.21,5.52,5.86,1.93,1.67,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
