TEMPLE-GUITING-HYDE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP089285,Long,-1.8719005,Lat,51.954919,Elevation,688,ft,,,,,,,,,,,,
Station no,2213/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.1,3.37,4.35,2.27,6.22,2.12,2.8,4.31,5.24,2.37,1.91,2.67,,,,
February,,,,,3.16,2.5,4.82,0.92,1.55,2.51,2.58,0.71,1.44,1.4,2.04,2.19,,,,
March,,,,,0.48,2.2,3.86,0.36,2.12,2.06,3.22,2.17,0.85,0.44,1.15,1.1,,,,
April,,,,,4.46,2.76,3.71,0.14,3.44,2.33,1.4,1.36,1.02,1.59,1.27,1.97,,,,
May,,,,,1.55,1.1,2.64,1.46,0.98,1.82,2.12,3.21,3.35,1.01,2.06,2.83,,,,
June,,,,,3.56,3.46,2.02,0.94,2.39,0.45,1.72,0.2,2.48,2.56,3.13,3.2,,,,
July,,,,,0.51,5.09,3.35,3.89,4.73,4.52,3.14,2.6,0.8,2.14,1.7,1.53,,,,
August,,,,,0.65,0.44,0.7,2.85,2.09,0.23,4.31,3.65,2.09,3.2,1.51,6.04,,,,
September,,,,,4.44,5.31,2.08,2.11,0.9,1.03,0.44,1.93,2.16,3.42,1.69,4.46,,,,
October,,,,,3.47,1.44,3.71,3.15,3.76,3.68,2.17,2.95,2.55,4.78,3.66,0.91,,,,
November,,,,,6.23,2.97,1.26,3.09,4.55,7.43,3.5,2.26,1.61,4.65,0.27,6.05,,,,
December,,,,,3.9,3.59,2.72,4.13,2.16,1.92,2.22,4.17,1.21,2.6,5.23,2.89,,,,
Total,,,,,33.51,34.23,35.22,25.31,34.89,30.1,29.62,29.52,24.8,30.16,25.62,35.84,,,,
