"DANBY LODGE",,,,,,,,,,,,
Grid ref,NZ717084,Long,-0.895302,Lat,54.465920,,,,,,,
Station no,3474,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.72,2.79,2.92,4.54,2.06,4.41,4.13,6.93,,
February,,,3.20,2.59,3.01,3.71,3.90,4.67,0.50,3.58,,
March,,,0.34,2.94,2.80,0.92,1.41,3.02,1.39,1.73,,
April,,,3.79,0.18,1.23,1.39,0.98,2.14,3.18,0.95,,
May,,,2.43,3.54,3.08,0.87,1.15,2.89,0.91,1.37,,
June,,1.23,4.84,1.73,2.36,4.98,2.31,3.54,1.86,0.77,,
July,,2.06,3.03,1.40,1.22,3.07,3.19,2.77,2.55,4.64,,
August,,2.54,2.40,10.09,1.13,8.39,3.67,2.80,0.46,3.14,,
September,,6.75,2.29,1.69,1.52,1.77,4.56,1.95,0.65,4.27,,
October,,4.64,3.08,4.53,3.43,2.51,2.36,1.89,2.33,12.44,,
November,,5.22,2.18,6.88,2.98,3.49,3.33,1.36,5.71,4.78,,
December,,3.08,1.55,2.81,4.55,2.89,2.50,4.47,6.64,4.27,,
Total,,,30.85,41.17,30.23,38.53,31.42,35.91,30.31,48.87,,
Calc annual,0.00,25.52,30.85,41.17,30.23,38.53,31.42,35.91,30.31,48.87,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
